Cites	Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI	ISSN	CitationURL	Volume	Issue	StartPage	EndPage	ECC	CitesPerYear	CitesPerAuthor	AuthorCount	Age	Abstract	FullTextURL	RelatedURL	Decision	Reason
0	J Wu, Y Jiang, X Chen, L Guo, X Wei…	""" The Canton Canon"" Digital Library Based on Knowledge Graph--Taking the Revolutionary Archives of Canton in the Republic of China as an Example"	2021	2021 10th International …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/9375538/?casa_token=bwNrnTcRo9AAAAAA:OjOIlS4fSlhRnVl7BbblkmfD1vqa5Sl-kC3_msQLbR9FGx1QRyPyRzWh0jwGIZq1-5JWxrXP		28	09/02/2022 10:40									0	0.00	0	6	1	… Canon”, the collection of the Canton Revolutionary Archives of the Republic of China can well supply the vacancy of the traditional knowledge graph platform in the user’s implicit knowledge needs. Therefore, we constructed a double-layer retrieval mode to improve the …	https://ieeexplore.ieee.org/iel7/9375508/9375502/09375538.pdf?casa_token=3WZE9FG6W9cAAAAA:2hzX24CzLulfzLfkFdj6Ycdst9F-Y4fnpVEcfY4M0Py4Ad3wJdJ9GMLnmGf-veosb2TMECaY	https://scholar.google.com/scholar?q=related:xm0AAGGIefYJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
0	G Li, X Wang, M Li	A Review of Recent Trends and Industry Prospects for Artificial Intelligence Technologies	2021	2021 8th International Conference on …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/9635368/		80	09/02/2022 10:40									0	0.00	0	3	1	… For example, the Ant Financial Knowledge Graph platform has been widely used in micro-loan, insurance claims, and smart finance within Ant and its partners6. Amazon has developed a Drug Repositioning Knowledge Graph (DRKG) to predict the possibility of combining …	https://opus.lib.uts.edu.au/bitstream/10453/150895/2/conference_041818.pdf	https://scholar.google.com/scholar?q=related:f9D9f0xEdhQJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
2	JS Siao Him Fa	A brokering approach to federating spatial data in a semantic web environment	2018		espace.curtin.edu.au	https://espace.curtin.edu.au/handle/20.500.11937/69354	https://scholar.google.com/scholar?cites=16309473125791569832&as_sdt=2005&sciodt=2007&hl=en	155	09/02/2022 10:40									2	0.50	2	1	4	This thesis proposes a broker approach to federate Australia and New Zealand’s spatial data using Semantic Web technologies and ontologies. The proposed approach improves the current methods of integrating and accessing spatial data in Australia and New Zealand by …	https://espace.curtin.edu.au/bitstream/handle/20.500.11937/69354/Siao%20Him%20Fa%20J%202018.pdf?sequence=1	https://scholar.google.com/scholar?q=related:qBeWiGXjVuIJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
21	F Ocker, I Kovalenko, K Barton, D Tilbury…	A framework for automatic initialization of multi-agent production systems using semantic web technologies	2019	IEEE Robotics and …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/8779665/	https://scholar.google.com/scholar?cites=12918518603346030685&as_sdt=2005&sciodt=2007&hl=en	93	09/02/2022 10:40									21	7.00	4	5	3	… We use the knowledge graph platform stardog [42] to execute the queries described in Section IV-B. This way, we create automata for the PAs, which describe the states and transitions allowed as well as dictionaries that list the RAs’ capabilities in terms of features and …	https://ieeexplore.ieee.org/iel7/7083369/7339444/08779665.pdf	https://scholar.google.com/scholar?q=related:XTC3eDnMR7MJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
6	Y Wu, Q Liu, R Chen, C Li, Z Peng	A group recommendation system of network document resource based on knowledge graph and LSTM in edge computing	2020	Security and Communication …	hindawi.com	https://www.hindawi.com/journals/scn/2020/8843803/	https://scholar.google.com/scholar?cites=8705303894746616408&as_sdt=2005&sciodt=2007&hl=en	35	09/02/2022 10:40	HTML								6	3.00	1	5	2	… In order to verify the feasibility of the proposed system and its services, we conducted experiments in the big data knowledge graph platform in the China packaging industry (URL: http://58.20.192.198:8090). e data in the experiments are collected from government information, …	https://www.hindawi.com/journals/scn/2020/8843803/	https://scholar.google.com/scholar?q=related:WFIyBMVzz3gJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
12	A Berven, OA Christensen, S Moldeklev, AL Opdahl…	A knowledge-graph platform for newsrooms	2020	Computers in …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0166361520305558	https://scholar.google.com/scholar?cites=16978286229820649168&as_sdt=2005&sciodt=2007&hl=en	1	09/02/2022 10:40	HTML								12	6.00	2	5	2	Journalism is challenged by digitalisation and social media, resulting in lower subscription numbers and reduced advertising income. Information and communication techniques (ICT) offer new opportunities. Our research group is collaborating with a software developer of …	https://www.sciencedirect.com/science/article/pii/S0166361520305558	https://scholar.google.com/scholar?q=related:0K5dB1_9nusJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Selected	It is about the KG management platform. 
2	HNM Quoca, M Serranob, HN Mauc, JG Breslind…	A performance study of RDF stores for linked sensor data	2019		semantic-web-journal.net	http://www.semantic-web-journal.net/system/files/swj2249.pdf	https://scholar.google.com/scholar?cites=11254228828272816479&as_sdt=2005&sciodt=2007&hl=en	138	09/02/2022 10:40	PDF								2	0.67	0	5	3	… Stardog1 is a knowledge graph platform that supports RDF storage. Stardog follows the native architecture design solution. Originally, it was implemented by the developers of a well-known OWL reasoner (Pellet) [42]. …	http://www.semantic-web-journal.net/system/files/swj2249.pdf	https://scholar.google.com/scholar?q=related:X3Ep6n0NL5wJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
43	T Gao, Y Chai, Y Liu	A review of knowledge management about theoretical conception and designing approaches	2018	International Journal of Crowd Science	emerald.com	https://www.emerald.com/insight/content/doi/10.1108/IJCS-08-2017-0023/full/	https://scholar.google.com/scholar?cites=17967171873191915683&as_sdt=2005&sciodt=2007&hl=en	51	09/02/2022 10:40		10.1108/IJCS-08-2017-0023							43	10.75	14	3	4	… Socaciu & Pascu 2016 A knowledge graph platform based on ontology using web ontology language and resource description framework to support KM …	https://www.emerald.com/insight/content/doi/10.1108/IJCS-08-2017-0023/full/pdf	https://scholar.google.com/scholar?q=related:o3D-3583WPkJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It is a survey paper
7	T Gao, Y Chai, Y Liu	A review of knowledge management and future research trend	2017	Proceedings of the 2nd international conference …	dl.acm.org	https://dl.acm.org/doi/abs/10.1145/3126973.3126997?casa_token=uOFWYPciqjsAAAAA:G2Q0q96t_3qNL1FGksnjvvKQlCcMjS_fu_eOAeXhbgzrXXN9w8rF2aBgb_nRV8m3nunjcZoPQcc	https://scholar.google.com/scholar?cites=195769922496450245&as_sdt=2005&sciodt=2007&hl=en	89	09/02/2022 10:40		10.1145/3126973.3126997							7	1.40	2	3	5	In1 this paper, we focus on providing a deep theoretical review and analysis of knowledge management. And we conduct both quantitative and qualitative studies. Firstly, we provide an overview of the knowledge management literature from 2005 to 2017 on a sample of 800 …	https://dl.acm.org/doi/pdf/10.1145/3126973.3126997?casa_token=HOAgMCeGjEQAAAAA:UrxYn2zxrht5Y4-0ZYZ69qtuZcLY7ZwvO_hb4s_1miK0hJ91Ol0PaUquGh861my-TxC1M-Vpqac	https://scholar.google.com/scholar?q=related:xU4bELWDtwIJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It is a survey paper
1	B Gâteau	A smart IoT middleware for comfort management based on Multi-Agent-System	2018	Proceedings of the 8th International Conference on …	dl.acm.org	https://dl.acm.org/doi/abs/10.1145/3227609.3227683?casa_token=Zx78neK5C0oAAAAA:tmfgf0Bfc2cS1KgpTrJYgBrLz5vdVFqRCA2KaEkzcLLA5w8USamfZ12Ae7bGb1lJY1sdQhhE4hU	https://scholar.google.com/scholar?cites=12323550814152668796&as_sdt=2005&sciodt=2007&hl=en	122	09/02/2022 10:40		10.1145/3227609.3227683							1	0.25	1	1	4	… Technically we use Stardog (a knowledge graph platform)2. We store values coming from sensors through a REST call. We display the values of the sensors to the user and store a comfort request with the web interface with SPARQL. …	https://dl.acm.org/doi/pdf/10.1145/3227609.3227683?casa_token=paj9D-Yq6ZQAAAAA:iaKz3kojBABU8VwS6U0PLdcHhUyPCgHk8v3W9P_SKkpqZYw7fInT2VHqLA8Kj07T8FOXSB6A9lw	https://scholar.google.com/scholar?q=related:fLYLKSwMBqsJ:scholar.google.com/&scioq=%22knowledge+graph+platform%22&hl=en&as_sdt=2007	Unselected	It does not talk about the KG management platform. 
