PaperTitle,Year,Author,Citation,Publication,URL,Related,Open Source
Cn-makg: China meteorology and agriculture knowledge graph construction based on semi-structured data,2018,Q Chenglin,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8466485/,TRUE,FALSE
Research and Application of Agriculture Knowledge Graph,2021,H Zhang,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3501409.3501531,FALSE,FALSE
Agriculture Knowledge Graph Construction and Application,2021,H Qin,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1756/1/012010/meta,TRUE,FALSE
Research of Knowledge Graph Technology and its Applications in Agricultural Information Consultation Field,2020,J Wu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9391515/,FALSE,FALSE
A tutorial and survey on fault knowledge graph,2019,XQ Wang,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-1925-3_19,FALSE,FALSE
Diagnosis of Fruit Tree Diseases and Pests Based on Agricultural Knowledge Graph,2021,L Guan,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1865/4/042052/meta,FALSE,FALSE
A General Solution and Practice for Automatically Constructing Domain Knowledge Graph,2020,X Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9344946/,TRUE,FALSE
DocKG: a knowledge graph framework for health with doctor-in-the-loop,2019,M Sheng,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-32962-4_1,TRUE,FALSE
Semi-autonomous greenhouse environment control by combining expert knowledge and machine learning,2020,M Kang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9326643/,FALSE,FALSE
Agricultural Named Entity Recognition Based on Semantic Aggregation and Model Distillation,2021,LI Liangde,,smartag.net.cn,http://www.smartag.net.cn/EN/abstract/abstract19770.shtml,TRUE,FALSE
OAK: Ontology-Based Knowledge Map Model for Digital Agriculture,2020,QH Ngo,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-63924-2_14,FALSE,FALSE
Constructing Crop Portraits Based on Graph Databases Is Essential to Agricultural Data Mining,2021,YX Shi,,mdpi.com,https://www.mdpi.com/1126320,FALSE,FALSE
Semantic Reference Model for Individualization of Information Processes in IoT Heterogeneous Environment,2021,D Mouromtsev,,mdpi.com,https://www.mdpi.com/2079-9292/10/20/2523,FALSE,FALSE
Automatically identifying bug entities and relations for bug analysis,2019,D Chen,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8665494/,FALSE,FALSE
Analysis of Indian Agricultural Ecosystem using Knowledge-based Tantra Framework,2110,SM Prabhu,,arxiv.org,https://arxiv.org/abs/2110.09297,FALSE,FALSE
"Data Mining, Data Warehousing & Database 63 Comparative Analysis of Discretization Algorithms on Decision Tree Rattayagon Thaiphan, Thimaporn Phetkaew …",2021,H Azzawi,,computer.org,https://www.computer.org/csdl/proceedings-article/icis/2018/08466508/13JkrasiQTK,FALSE,FALSE
