PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;
Towards a biodiversity knowledge graph;2016;R Page;;eprints.gla.ac.uk;https://eprints.gla.ac.uk/146927/;FALSE;FALSE;;
[HTML][HTML] Ozymandias: a biodiversity knowledge graph;2019;RDM Page;;peerj.com;https://peerj.com/articles/6739/;TRUE;TRUE;;
[HTML][HTML] Infrastructure and Population of the OpenBiodiv Biodiversity Knowledge Graph;2021;M Dimitrova;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8486731/;FALSE;FALSE;;
[PDF][PDF] OpenBiodiv: an implementaion of a semantic system running on top of the biodiversity knowledge graph;2017;V Senderov;;biss.pensoft.net;https://biss.pensoft.net/article/20084/download/pdf/;FALSE;FALSE;;
OpenBiodiv: a knowledge graph for literature-extracted linked open data in biodiversity science;2019;L Penev;;mdpi.com;https://www.mdpi.com/470638;FALSE;FALSE;;
[PDF][PDF] Training and hackathon on building biodiversity knowledge graphs;2019;J Sachs;;riojournal.com;https://riojournal.com/article/36152/download/pdf/;FALSE;FALSE;;
[PDF][PDF] Strategies for Assembling the Biodiversity Knowledge Graph;2020;R Page;;biss.pensoft.net;https://biss.pensoft.net/article/59126/download/pdf/;FALSE;FALSE;;
Towards Interlinked FAIR Biodiversity Knowledge: The BiCIKL perspective.;2021;L Penev;;go.gale.com;https://go.gale.com/ps/i.do?id=GALE%7CA674947113&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=25350897&p=AONE&sw=w;FALSE;FALSE;;
Towards Knowledge Graph Construction using Semantic Data Mining;21;D Sharafeldeen;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3366030.3366035;TRUE;FALSE;;
The Open Biodiversity Knowledge Management System: A Semantic Suite Running on top of the Biodiversity Knowledge Graph;2016;V Senderov;;192.104.39.235;https://192.104.39.235/index.php/tdwg/tdwg2016/paper/view/1009;FALSE;FALSE;;
[PDF][PDF] The open biodiversity knowledge management (eco-) system: tools and services for extraction; mobilization; handling and re-use of data from the published …;2018;L Penev;;biss.pensoft.net;https://biss.pensoft.net/article/25748/download/pdf/;FALSE;FALSE
[HTML][HTML] Connecting data and expertise: a new alliance for biodiversity knowledge;2019;D Hobern;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6420472/;FALSE;FALSE;;
[PDF][PDF] Wikidata and the biodiversity knowledge graph;2019;R Page;;biss.pensoft.net;https://biss.pensoft.net/article/34742/download/pdf/;FALSE;FALSE;;
[PDF][PDF] # RetroPIDs: The missing link to the foundation of biodiversity knowledge;2021;N Kearney;;biss.pensoft.net;https://biss.pensoft.net/article/74141/download/pdf/;FALSE;FALSE;;
[PDF][PDF] Biodiversity Knowledge Graphs: Time to move up a gear!;2021;F Michel;;biss.pensoft.net;https://biss.pensoft.net/article/73699/download/pdf/;FALSE;FALSE;;
Simplifying the mechanics toward building a Biodiversity Knowledge Graph;2014;DP Shorthouse;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/2014/paper/view/593;FALSE;FALSE;;
Demonstrating the Prototype of the Open Biodiversity Knowledge Management System;2016;V Senderov;;mbgocs.mobot.org;https://mbgocs.mobot.org/index.php/tdwg/tdwg2016/paper/view/1028/0;FALSE;FALSE;;
