PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;;;
Domain knowledge graph-based research progress of knowledge representation;2021;J Lin;;Springer;https://link.springer.com/article/10.1007/s00521-020-05057-5;FALSE;FALSE;;;;;;;
A relationship extraction method for domain knowledge graph construction;2020;H Yu;;Springer;https://link.springer.com/article/10.1007/s11280-019-00765-y;FALSE;FALSE;;;;;;;
AliMeKG: Domain knowledge graph construction and application in e-commerce;29;FL Li;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3340531.3412685;TRUE;FALSE;;;;;;;
A domain knowledge graph construction method based on Wikipedia;2021;H Yu;;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0165551520932510;TRUE;FALSE;;;;;;;
A versatile approach for constructing a domain knowledge graph for culture;2019;J Wei;;Library;https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.186;TRUE;FALSE;;;;;;;
Scratch-dkg: A framework for constructing scratch domain knowledge graph;2020;P Qi;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9099052/;TRUE;FALSE;;;;;;;
Automatically semantic annotation of network document based on domain knowledge graph;2017;Y Wu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8367341/;FALSE;FALSE;;;;;;;
Dkgbuilder: An architecture for building a domain knowledge graph from scratch;2017;Y Fan;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-55699-4_42;TRUE;FALSE;;;;;;;
[HTML][HTML] Knowledge graph for TCM health preservation: Design; construction; and applications;2017;T Yu;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0933365717301355;TRUE;FALSE;;;;;
FactQA: question answering over domain knowledge graph based on two-level query expansion;2019;X Zhang;;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/DTA-02-2019-0029/full/html?skipTracking=true&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Data_Technologies_and_Applications_TrendMD_1&WT.mc_id=Emerald_TrendMD_1;FALSE;FALSE;;;;;;;
Con2kg-a large-scale domain-specific knowledge graph;30;N Goyal;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3342220.3344931;TRUE;FALSE;;;;;;;
[HTML][HTML] Leveraging domain context for question answering over knowledge graph;2019;P Tong;;Springer;https://link.springer.com/article/10.1007/s41019-019-00109-w;FALSE;FALSE;;;;;;;
Construction method of domain knowledge graph based on big data-driven;2019;N Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8714664/;TRUE;FALSE;;;;;;;
[HTML][HTML] Research on knowledge graph alignment model based on deep learning;2021;C Yu;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417421011404;FALSE;FALSE;;;;;;;
Research on Information Extraction of Technical Documents and Construction of Domain Knowledge Graph;0;H Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9195862/;FALSE;FALSE;;;;;;;
From vision to content: Construction of domain-specific multi-modal knowledge graph;2019;X Zhang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8788525/;TRUE;FALSE;;;;;;;
[HTML][HTML] An agent composition framework for the J-Park Simulator-A knowledge graph for the process industry;2019;X Zhou;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0098135419305058;FALSE;FALSE;;;;;;;
