PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;;
Stochastic optimization for market return prediction using financial knowledge graph;2018;X Fu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8588771/;FALSE;FALSE;;;;;;
Financial Knowledge Graph Based Financial Report Query System;2021;S Zehra;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9424591/;FALSE;FALSE;;;;;;
A dynamic financial knowledge graph based on reinforcement learning and transfer learning;2019;R Miao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9005691/;TRUE;FALSE;;;;;;
A High Precision Pipeline for Financial Knowledge Graph Construction;28;S Elhammadi;;aclweb.org;https://www.aclweb.org/anthology/2020.coling-main.84/;TRUE;FALSE;;;;;;
Data set and evaluation of automated construction of financial knowledge graph;2021;W Wang;;direct.mit.edu;https://direct.mit.edu/dint/article-abstract/3/3/418/106758;FALSE;FALSE;;;;;;
Knowledge graph-based event embedding framework for financial quantitative investments;43;D Cheng;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3397271.3401427;FALSE;FALSE;;;;;;
[PDF][PDF] A Semantic Path Based Approach to Match Subgraphs from Large Financial Knowledge Graph;2019;Z Wang;;atlantis-press.com;https://www.atlantis-press.com/article/125921058.pdf;FALSE;FALSE;;;;;;
Constructing Knowledge Graph for Financial Equities;2020;L Huakui;;manu44.magtech.com.cn;http://manu44.magtech.com.cn/Jwk_infotech_wk3/EN/10.11925/infotech.2096-3467.2019.0929;FALSE;FALSE;;;;;;
Knowledge Graph Based Question Answering System for Financial Securities;2021;M Bulla;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-87626-5_4;FALSE;FALSE;;;;;;
Semi-automatic Construction of Financial Knowledge Graph Based on Web;2021;Y Luo;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9477534/;FALSE;FALSE;;;;;;
[HTML][HTML] Financial knowledge graph construction;2020;S Elhammadi;;open.library.ubc.ca;https://open.library.ubc.ca/collections/83l/24/items/1.0392614;TRUE;FALSE;;;;;;
Financial Knowledge Graph Construction; Querying; and Indexing;2021;Y Xie;;search.proquest.com;https://search.proquest.com/openview/6d3b0b41d18f545f6d3f58d684303f92/1?pq-origsite=gscholar&cbl=18750&diss=y;FALSE;FALSE;;;;
[PDF][PDF] Populating the FLE Financial Knowledge Graph;xx;M Peña-Muñoz;;ceur-ws.org;http://ceur-ws.org/Vol-2180/paper-89.pdf;FALSE;FALSE;;;;;;
Query Associations Over Big Financial Knowledge Graph;2018;X Ouyang;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-28061-1_21;FALSE;FALSE;;;;;;
Knowledge graph construction for payment data risk control;2020;Z Wang;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-5959-4_231;FALSE;FALSE;;;;;;
Joint extraction of entities and relations for domain knowledge graph;2021;FU Rui;;xblk.ecnu.edu.cn;https://xblk.ecnu.edu.cn/EN/abstract/abstract25925.shtml;FALSE;FALSE;;;;;;
Industry Chain Graph Building Based on Text Semantic Association Mining;2021;J Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9534360/;FALSE;FALSE;;;;;;
A General Solution and Practice for Automatically Constructing Domain Knowledge Graph;2020;X Yang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9344946/;FALSE;FALSE;;;;;;
Relation classification in knowledge graph based on natural language text;2018;Y Song;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8663945/;FALSE;FALSE;;;;;;
A tutorial and survey on fault knowledge graph;2019;XQ Wang;;Springer;https://link.springer.com/chapter/10.1007/978-981-15-1925-3_19;FALSE;FALSE;;;;;;
A survey based on knowledge graph in fault diagnosis; analysis and prediction: key technologies and challenges;2020;L Su;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9361060/;FALSE;FALSE;;;;;
[CITATION][C] Populating the FLE Financial Knowledge Graph.;2018;MP Muñoz;;2018;xx;FALSE;FALSE;;;;;;
Research on Entity Recognition and Alignment Methods in Knowledge Graph Construction of Multi-source Tourism Data;2021;M Wu;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9482325/;FALSE;FALSE;;;;;;
A review of natural language processing for financial technology;2021;R Gao;;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11884/118840U/A-review-of-natural-language-processing-for-financial-technology/10.1117/12.2604371.short;FALSE;FALSE;;;;;;
Construction research and application of poverty alleviation knowledge graph;2019;H Yun;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-30952-7_42;FALSE;FALSE;;;;;;
Variable incremental adaptive learning model based on knowledge graph and its application in online learning system;2021;Z Bai;;Francis;https://www.tandfonline.com/doi/abs/10.1080/1206212X.2021.1878419;FALSE;FALSE;;;;;;
Fintech: AI powers financial services to improve people's lives;2018;Y Qi;;dl.acm.org;https://dl.acm.org/doi/pdf/10.1145/3239550;FALSE;FALSE;;;;;;
Distributed Storage and Query for Domain Knowledge Graphs;2020;X Shan;;Springer;https://link.springer.com/chapter/10.1007/978-981-16-0479-9_10;FALSE;FALSE;;;;;;
Building Knowledge Graph using Pre-trained Language Model for Learning Entity-aware Relationships;2020;A Kumar;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9231227/;FALSE;FALSE;;;;;;
Vadalog: recent advances and applications;2019;G Gottlob;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-19570-0_2;FALSE;FALSE;;;;;;
Financial news recommendation based on graph embeddings;2019;J Ren;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0167923619301447;FALSE;FALSE;;;;;;
[PDF][PDF] “Trustworthy and Explainable AI” Achieved Through Knowledge Graphs and Social Implementation;2020;M Fuji;;fujitsu.com;https://www.fujitsu.com/global/documents/about/resources/publications/fstj/archives/vol56-1/paper07.pdf;FALSE;FALSE;;;;;;
