PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;
Geographic knowledge graph (GeoKG): A formalized geographic knowledge representation;2019;S Wang;;mdpi.com;https://www.mdpi.com/441914;TRUE;FALSE;;;
Demonstrating spindra: A geographic knowledge graph management system;2019;Y Sun;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8731539/;FALSE;FALSE;;;
A spatially explicit reinforcement learning model for geographic knowledge graph summarization;2019;B Yan;;Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/tgis.12547;FALSE;FALSE;;;
Intelligent interaction with virtual geographical environments based on geographic knowledge graph;2019;B Jiang;;mdpi.com;https://www.mdpi.com/540338;FALSE;FALSE;;;
WorldKG: A World-Scale Geographic Knowledge Graph;30;A Dsouza;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459637.3482023;TRUE;FALSE;;;
Conciliating perspectives from mapping agencies and Web of data on successful European SDIs: Toward a European geographic knowledge graph;2020;B Bucher;;mdpi.com;https://www.mdpi.com/623014;FALSE;FALSE;;;
Spatiotemporal features based geographical knowledge graph construction;2020;X ZHANG;;engine.scichina.com;https://engine.scichina.com/doi/10.1360/SSI-2019-0269?slug=fulltext;FALSE;FALSE;;;
[BOOK][B] Geographic knowledge graph summarization;2019;B Yan;;search.proquest.com;https://search.proquest.com/openview/86ad644e1c1e63ab1163899778e11b72/1?pq-origsite=gscholar&cbl=18750&diss=y;FALSE;FALSE;;;
Relaxing unanswerable geographic questions using a spatially explicit knowledge graph embedding model;2019;G Mai;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-14745-7_2;FALSE;FALSE;;;
Knowledge embedding with geospatial distance restriction for geographic knowledge graph completion;2019;P Qiu;;mdpi.com;https://www.mdpi.com/471628;FALSE;FALSE;;;
SE‐KGE: A location‐aware Knowledge Graph Embedding model for Geographic Question Answering and Spatial Semantic Lifting;2020;G Mai;;Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/tgis.12629;FALSE;FALSE;;;
Geographic Knowledge Graph Building Extracted from Multi-sourced Heterogeneous Data;2018;J Bingchuan;;xb.sinomaps.com;http://xb.sinomaps.com/EN/abstract/abstract7288.shtml;TRUE;FALSE;;;
Design and Construction of Geographic Knowledge Graph;2020;Z Wei;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9339104/;TRUE;FALSE;;;
Crowdgeokg: Crowdsourced geo-knowledge graph;2017;J Chen;;Springer;https://link.springer.com/chapter/10.1007/978-981-10-7359-5_17;TRUE;FALSE;;;
Interactive Analysis of Epidemic Situations Based on a Spatiotemporal Information Knowledge Graph of COVID-19;2020;B Jiang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9239940/;FALSE;FALSE;;;
The Construction Method of Geographic Knowledge Graph Ontology Model Based on GML;2019;C Xiaohui;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3374587.3374603;TRUE;FALSE;;;
[HTML][HTML] Interactive Visual Analysis of COVID-19 Epidemic Situation Using Geographic Knowledge Graph;2020;B JIANG;;ch.whu.edu.cn;http://ch.whu.edu.cn/en/article/doi/10.13203/j.whugis20200153;FALSE;FALSE;;;
A knowledge representation model based on the geographic spatiotemporal process;2021;K Zheng;;Francis;https://www.tandfonline.com/doi/abs/10.1080/13658816.2021.1962527;TRUE;FALSE;;;
GAKG: A Multimodal Geoscience Academic Knowledge Graph;30;C Deng;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3459637.3482003;TRUE;FALSE;;;
Knowledge Graph Post-Processing for QA Systems;2021;X Lin;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3467707.3467758;FALSE;FALSE;;;
Spatial Dataset Search: Building a dedicated Knowledge Graph;2021;M Zrhal;;agile-giss.copernicus.org;https://agile-giss.copernicus.org/articles/2/43/2021/;TRUE;FALSE;;;
Construction of Meteorological Simulation Knowledge Graph Based on Deep Learning Method;2021;Z Xiao;;mdpi.com;https://www.mdpi.com/975530;TRUE;FALSE;;;
Construction and Application of a Knowledge Graph;2021;X Hao;;mdpi.com;https://www.mdpi.com/2072-4292/13/13/2511;TRUE;FALSE;;;
Prospects for the research on geoscience knowledge graph in the Big Data Era;2021;C Zhou;;Springer;https://link.springer.com/article/10.1007/s11430-020-9750-4;FALSE;FALSE;;;
A Method for Constructing Geographical Knowledge Graph from Multisource Data;2021;X Guo;;mdpi.com;https://www.mdpi.com/1284516;TRUE;FALSE;;;
GeoAI: spatially explicit artificial intelligence techniques for geographic knowledge discovery and beyond;2020;K Janowicz;;Francis;https://www.tandfonline.com/doi/abs/10.1080/13658816.2019.1684500;FALSE;FALSE;;;
[HTML][HTML] Construct a Knowledge Graph for China Coronavirus (COVID-19) Patient Information Tracking;2021;J Wu;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8544565/;TRUE;FALSE;;;
Construction of Spatiotemporal Knowledge Graph for Emergency Decision Making;2021;J Chen;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9553867/;TRUE;FALSE;;;
A Method For Constructing Knowledge Graph Of Disaster News Based On Address Tree;5;Y Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8599467/;TRUE;FALSE;;;
A generic database indexing framework for large-scale geographic knowledge graphs;26;Y Sun;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3274895.3274966;FALSE;FALSE;;;
CKGG: A Chinese Knowledge Graph for High-School Geography Education and Beyond;2021;Y Shen;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-88361-4_25;TRUE;TRUE;;;
[PDF][PDF] Design of a Geospatial Knowledge Graph for Thematic Facilities;2021;H Zhang;;easychair.org;https://easychair.org/publications/preprint_download/nfSB;FALSE;FALSE;;;
Construction of Meteorological Simulation Knowledge Graph Based on Deep Learning Method. Sustainability 2021;13;1311;2021;Z Xiao;;search.proquest.com;https://search.proquest.com/openview/c4c922574180be43d71b5c2104ffdb04/1?pq-origsite=gscholar&cbl=2032327;TRUE;FALSE;
NLQA Based Knowledge Search for Virtual Geographic Environment;2018;B Jiang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8710805/;FALSE;FALSE;;;
Knowledge-driven Site Selection via Urban Knowledge Graph;2111;Y Liu;;arxiv.org;https://arxiv.org/abs/2111.00787;FALSE;FALSE;;;
Detecting geo-relation phrases from web texts for triplet extraction of geographic knowledge: a context-enhanced method;2019;P Qiu;;Francis;https://www.tandfonline.com/doi/abs/10.1080/20964471.2019.1657719;FALSE;FALSE;;;
Aligning geographic entities from historical maps for building knowledge graphs;2021;K Sun;;Francis;https://www.tandfonline.com/doi/abs/10.1080/13658816.2020.1845702;FALSE;FALSE;;;
Construction of Scenic Spot Knowledge Graph Based on Ontology;2019;W Zeng;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8921048/;TRUE;FALSE;;;
The Construction of Knowledge Graph based on Securities Information;2019;QA Li;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8938986/;TRUE;FALSE;;;
Refine search by Question Answering System by using Knowledge Graphs;2020;G Kavitha;;archives.palarch.nl;https://www.archives.palarch.nl/index.php/jae/article/view/2700;FALSE;FALSE;;;
[PDF][PDF] Spatial Linked Data in Europe: Report from Spatial Linked Data Session at Knowledge Graph in Action;2021;B Bucher;;eurosdr.net;https://www.eurosdr.net/sites/default/files/uploaded_files/eurosdr_publication_ndeg_73.pdf;FALSE;FALSE;;;
Feature Generation Based on Knowledge Graph;2020;L Li;;Elsevier;https://www.sciencedirect.com/science/article/pii/S240589632100313X;FALSE;FALSE;;;
Method for Calculating Geographic Entity Relevance Based on Spatial and Semantic Association;2019;M Yan;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8955497/;FALSE;FALSE;;;
Deeply integrating linked data with geographic information systems;2019;G Mai;;Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/tgis.12538;FALSE;FALSE;;;
Research on Information Extraction of Technical Documents and Construction of Domain Knowledge Graph;2020;H Zhao;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9195862/;FALSE;FALSE;;;
The construction of personalized virtual landslide disaster environments based on knowledge graphs and deep neural networks;2020;Y Zhang;;Francis;https://www.tandfonline.com/doi/abs/10.1080/17538947.2020.1773950;FALSE;FALSE;;;
Spatio-Temporal Urban Knowledge Graph Enabled Mobility Prediction;2021;H Wang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3494993;FALSE;FALSE;;;
Risk Assessment of Alpine Skiing Events Based on Knowledge Graph: A Focus on Meteorological Conditions;2021;M Wang;;mdpi.com;https://www.mdpi.com/1406746;FALSE;FALSE;;;
Robotic Task Oriented Knowledge Graph for Human-Robot Collaboration in Disassembly;2019;Y Ding;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2212827119304263;FALSE;FALSE;;;
An Intelligent Question-Answering System for Myopia Prevention and Control based on Knowledge Graph;2;Y Sun;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3500931.3500947;FALSE;FALSE;;;
Geographical Entity Community Mining Based on Spatial and Semantic Association;3;M Yan;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3331453.3361652;FALSE;FALSE;;;
