PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;;;;;
[HTML][HTML] Automated domain-specific healthcare knowledge graph curation framework: Subarachnoid hemorrhage as phenotype;2020;KM Malik;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417419308371;FALSE;FALSE;;;;;;;;;
Personalized health knowledge graph;2018;A Gyrard;;corescholar.libraries.wright.edu;https://corescholar.libraries.wright.edu/knoesis/1173/;TRUE;FALSE;;;;;;;;;
Towards an Italian Healthcare Knowledge Graph;2021;M Postiglione;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-89657-7_29;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Text snippets to corroborate medical relations: An unsupervised approach using a knowledge graph and embeddings;2020;MR Kamdar;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7233036/;FALSE;FALSE;;;;;;;;;
Dynamic causality knowledge graph generation for supporting the chatbot healthcare system;2020;HQ Yu;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-63092-8_3;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Multitask Healthcare Management Recommendation System Leveraging Knowledge Graph;2021;W Liu;;hindawi.com;https://www.hindawi.com/journals/jhe/2021/1233483/;FALSE;FALSE;;;;;;;;;
Towards smart healthcare management based on knowledge graph technology;2019;L Huang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3316615.3316678;TRUE;FALSE;;;;;;;;;
Focused Clinical Query Understanding and Retrieval of Medical Snippets powered through a Healthcare Knowledge Graph;2020;MR Kamdar;;arxiv.org;https://arxiv.org/abs/2009.09086;FALSE;FALSE;;;;;;;;;
Knowledge graph-based question answering with electronic health records;2021;J Park;;proceedings.mlr.press;https://proceedings.mlr.press/v149/park21a.html;FALSE;FALSE;;;;;;;;;
[PDF][PDF] A Healthcare Knowledge Graph-based Approach to Enable Focused Clinical Search;2021;MR Kamdar;;ceur-ws.org;http://ceur-ws.org/Vol-2980/paper414.pdf;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Medical Knowledge Graph in Chinese Using Deep Semantic Mobile Computation Based on IoT and WoT;2021;W Liu;;hindawi.com;https://www.hindawi.com/journals/wcmc/2021/5590754/;TRUE;FALSE;;;;;;;;;
Focused Clinical Search through Query Intent Interpretation and a Healthcare Knowledge Graph;2020;M Kamdar;;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3775468;FALSE;FALSE;;;;;;;;;
Snomed2Vec: Random Walk and Poincar\'e Embeddings of a Clinical Knowledge Base for Healthcare Analytics;2019;K Agarwal;;arxiv.org;https://arxiv.org/abs/1907.08650;FALSE;FALSE;;;;;;;;;
Deep Learning-Based Knowledge Graph Generation for COVID-19;2021;T Kim;;mdpi.com;https://www.mdpi.com/1004588;TRUE;FALSE;;;;;;;;;
Elsevier's Healthcare Knowledge Graph and the Case for Enterprise Level Linked Data Standards;xx;A Tordai;;ceur-ws.org;http://ceur-ws.org/Vol-2180/paper-85.pdf;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Research on Construction of Knowledge Graph of Intestinal Cells;2020;F He;;atlantis-press.com;https://www.atlantis-press.com/journals/jaims/125944781/view;FALSE;FALSE;;;;;;;;;
[PDF][PDF] Deep Learning-Based Knowledge Graph Generation for COVID-19. Sustainability 2021;13;2276;2021;T Kim;;pdfs.semanticscholar.org;https://pdfs.semanticscholar.org/ac83/437579ceccbc868182fb4785670a0d9661c4.pdf;TRUE;FALSE;;;;;;;
[HTML][HTML] KGEL: A novel end-to-end embedding learning framework for knowledge graph completion;2021;A Zeb;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417420309039;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Processing knowledge graph-based complex questions through question decomposition and recomposition;2020;S Shin;;Elsevier;https://www.sciencedirect.com/science/article/pii/S002002552030150X;FALSE;FALSE;;;;;;;;;
Improving Clinical Query Intent Interpretation by using Concept Embedding Vectors;2021;M Kamdar;;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3969318;FALSE;FALSE;;;;;;;;;
[BOOK][B] Web and Big Data: APWeb-WAIM 2018 International Workshops: MWDA; BAH; KGMA; DMMOOC; DS; Macau; China; July 23–25;2018; Revised Selected …;2018;H Xie;;books.google.com;https://books.google.com/books?hl=en&lr=&id=DhB0DwAAQBAJ&oi=fnd&pg=PR6&dq=%22Healthcare+knowledge+graph%22+&ots=qInbyvbQgQ&sig=8IFe4S2EJc4qCD_0ZWKMio8IZso;FALSE;FALSE
A systematic review of smart mental healthcare;5;S Dalal;;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3511013;FALSE;FALSE;;;;;;;;;
Knowledge-based decision support in healthcare via near field communication;2020;G Loseto;;mdpi.com;https://www.mdpi.com/813320;FALSE;FALSE;;;;;;;;;
[PDF][PDF] Graph representation learning in bioinformatics: trends; methods and applications;2021;HC Yi;;researchgate.net;https://www.researchgate.net/profile/Haicheng-Yi/publication/354327323_Graph_representation_learning_in_bioinformatics_trends_methods_and_applications/links/61c082a1a6251b553ad1332d/Graph-representation-learning-in-bioinformatics-trends-methods-and-applications.pdf;FALSE;FALSE;;;;;;;;
[HTML][HTML] Exploiting knowledge graphs in industrial products and services: A survey of key aspects; challenges; and future perspectives;2021;X Li;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0166361521000567;FALSE;FALSE;;;;;;;
Architecture of an intelligent personal health library for improved health outcomes;2021;HM Jamil;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9581174/;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Learning hyperbolic attention-based embeddings for link prediction in knowledge graphs;2021;A Zeb;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0950705121006316;FALSE;FALSE;;;;;;;;;
Enterprise knowledge graphs with applications to continuous monitoring systems;2021;DE O'Leary;;Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/isaf.1491;FALSE;FALSE;;;;;;;;;
Ontology middleware for integration of IoT healthcare information systems in EHR systems;2018;A Alamri;;mdpi.com;https://www.mdpi.com/348376;FALSE;FALSE;;;;;;;;;
Self-Supervised Learning of Contextual Embeddings for Link Prediction in Heterogeneous Networks;2021;P Wang;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3442381.3450060;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Domain-specific knowledge graphs: A survey;2021;B Abu-Salih;;Elsevier;https://www.sciencedirect.com/science/article/pii/S1084804521000990;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Semantic and Statistical Analysis Based Framework for Intracranial Aneurysm Knowledge Curation;2019;M Krishnamurthy;;search.proquest.com;https://search.proquest.com/openview/ad6a7330dc938747dea7ab1dbe9f4943/1?pq-origsite=gscholar&cbl=18750&diss=y;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Integrating Deep Learning and Network Science to Support Healthcare Management;2021;Z Yang;;search.proquest.com;https://search.proquest.com/openview/ca2ee2b9a86d9dfe20d7c4aded4b9e33/1?pq-origsite=gscholar&cbl=18750&diss=y;FALSE;FALSE;;;;;;;;;
Method of Multilevel Adaptive Synthesis of Monitoring Object Knowledge Graphs;2021;K Krinkin;;mdpi.com;https://www.mdpi.com/1178744;FALSE;FALSE;;;;;;;;;
Foundations of explainable knowledge-enabled systems;2020;I Tiddi;;books.google.com;https://books.google.com/books?hl=en&lr=&id=kfjtDwAAQBAJ&oi=fnd&pg=PA23&dq=%22Healthcare+knowledge+graph%22+&ots=8dPlEjUurv&sig=3uPM1ifokXz6KV8kv5WrBYxyNTo;FALSE;FALSE;;;;;;;;;
Challenges and Considerations with Code-Mixed NLP for Multilingual Societies;2106;V Srivastava;;arxiv.org;https://arxiv.org/abs/2106.07823;FALSE;FALSE;;;;;;;;;
Automatic Question Answering and Knowledge Discovery from Electronic Health Records;2021;P Wang;;vtechworks.lib.vt.edu;https://vtechworks.lib.vt.edu/handle/10919/104711;FALSE;FALSE;;;;;;;;;
A Systematic Review on Data Scarcity Problem in Deep Learning: Solution and Applications;2020;MA Bansal;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3502287;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Distributed aggregation-based attributed graph summarization for summary-based approximate attributed graph queries;2021;S Yang;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417421003626;FALSE;FALSE;;;;;;;;;
A novel authentication and key agreement scheme for countering MITM and impersonation attack in medical facilities;2021;SO Maikol;;publisher.uthm.edu.my;https://publisher.uthm.edu.my/ojs/index.php/ijie/article/view/6641;FALSE;FALSE;;;;;;;;;
Discovery of Patient Phenotypes through Multi-layer Network Analysis on the Example of Tinnitus;2021;C Puga;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9564158/;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Acquiring guideline-enabled data driven clinical knowledge model using formally verified refined knowledge acquisition method;2020;M Hussain;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0169260720315340;FALSE;FALSE;;;;;;;;;
[HTML][HTML] Clinical Context–Aware Biomedical Text Summarization Using Deep Neural Network: Model Development and Validation;2020;M Afzal;;jmir.org;https://www.jmir.org/2020/10/e19810/;FALSE;FALSE;;;;;;;;;
Acquiring Guideline-enabled data driven clinical knowledge model using formally verified refined knowledge acquisition method;2020;M Afzal;;derby.openrepository.com;https://derby.openrepository.com/handle/10545/625145;FALSE;FALSE;;;;;;;;;
Natural Language Processing in-and-for Design Research;2111;L Siddharth;;arxiv.org;https://arxiv.org/abs/2111.13827;FALSE;FALSE;;;;;;;;;
