PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;
Real-world data medical knowledge graph: construction and applications;2020;L Li;;Elsevier;https://www.sciencedirect.com/science/article/pii/S0933365719309546;TRUE;FALSE;;;
Safe medicine recommendation via medical knowledge graph embedding;2017;M Wang;;ui.adsabs.harvard.edu;https://ui.adsabs.harvard.edu/abs/2017arXiv171005980W/abstract;FALSE;FALSE;;;
Smr: Medical knowledge graph embedding for safe medicine recommendation;2021;F Gong;;Elsevier;https://www.sciencedirect.com/science/article/pii/S2214579620300423;FALSE;FALSE;;;
Automatic generation of a qualified medical knowledge graph and its usage for retrieving patient cohorts from electronic medical records;2013;T Goodwin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6693543/;TRUE;FALSE;;;
Patient similarity via joint embeddings of medical knowledge graph and medical entity descriptions;2020;Z Lin;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9178312/;FALSE;FALSE;;;
[HTML][HTML] Medical Knowledge Graph to Enhance Fraud; Waste; and Abuse Detection on Claim Data: Model Development and Performance Evaluation;2020;H Sun;;medinform.jmir.org;https://medinform.jmir.org/2020/7/e17653/;FALSE;FALSE;
Research review of knowledge graph and its application in medical domain;2018;M Hou;;crad.ict.ac.cn;https://crad.ict.ac.cn/EN/abstract/abstract3824.shtml;FALSE;FALSE;;;
[HTML][HTML] A method to learn embedding of a probabilistic medical knowledge graph: Algorithm development;2020;L Li;;medinform.jmir.org;https://medinform.jmir.org/2020/5/e17645?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JMIR_TrendMD_0;FALSE;FALSE;;;
[HTML][HTML] Path-based knowledge reasoning with textual semantic information for medical knowledge graph completion;2021;Y Lan;;�;https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-021-01622-7;FALSE;FALSE;;;
Automatic approach for constructing a knowledge graph of knee osteoarthritis in Chinese;2020;X Li;;Springer;https://link.springer.com/article/10.1007/s13755-020-0102-4;TRUE;FALSE;;;
Attention-aware path-based relation extraction for medical knowledge graph;2017;D Wen;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-73830-7_32;FALSE;FALSE;;;
A survey on application of knowledge graph;2020;X Zou;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1487/1/012016/meta;FALSE;FALSE;;;
Diagnosis method of thyroid disease combining knowledge graph and deep learning;2020;X Chai;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9167227/;FALSE;FALSE;;;
A framework for automated knowledge graph construction towards traditional Chinese medicine;2017;H Weng;;Springer;https://link.springer.com/chapter/10.1007/978-3-319-69182-4_18;TRUE;FALSE;;;
Integration of Domain Knowledge using Medical Knowledge Graph Deep Learning for Cancer Phenotyping;2021;M Alawad;;arxiv.org;https://arxiv.org/abs/2101.01337;FALSE;FALSE;;;
[HTML][HTML] Text snippets to corroborate medical relations: An unsupervised approach using a knowledge graph and embeddings;2020;MR Kamdar;;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7233036/;FALSE;FALSE;;;
[HTML][HTML] When truth discovery meets medical knowledge graph: Estimating trustworthiness degree for medical knowledge condition;2018;Y Deng;;deepai.org;https://deepai.org/publication/when-truth-discovery-meets-medical-knowledge-graph-estimating-trustworthiness-degree-for-medical-knowledge-condition;FALSE;FALSE;;;
[HTML][HTML] Research on Medical Knowledge Graph for Stroke;2021;B Cheng;;hindawi.com;https://www.hindawi.com/journals/jhe/2021/5531327/;FALSE;FALSE;;;
KGDDS: a system for drug-drug similarity measure in therapeutic substitution based on knowledge graph curation;2019;Y Shen;;Springer;https://link.springer.com/article/10.1007/s10916-019-1182-z;FALSE;FALSE;;;
[PDF][PDF] A Knowledge Graph Based Health Assistant;2019;L Bo;;aiforsocialgood.github.io;https://aiforsocialgood.github.io/neurips2019/accepted/track1/pdfs/53_aisg_neurips2019.pdf;FALSE;FALSE;;;
[HTML][HTML] Medical Knowledge Graph in Chinese Using Deep Semantic Mobile Computation Based on IoT and WoT;2021;W Liu;;hindawi.com;https://www.hindawi.com/journals/wcmc/2021/5590754/;TRUE;FALSE;;;
