PaperTitle,Year,Author,Citation,Publication,URL,Related,Source code
Construction of Military Knowledge Graph Based on Paper Bibliographic Data,2021,D Song,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9602697/,TRUE,FALSE
Research on Entity Coreference Resolution Technology Oriented to Military Knowledge Graph,2020,R Hu,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1624/5/052003/meta,FALSE,FALSE
Application of entity relation extraction method under CRF and syntax analysis tree in the construction of military equipment knowledge graph,2020,C Liu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9245495/,TRUE,FALSE
The Technology of Military Knowledge Graph Construction Based on Multiple Open Data Sources,2020,Z Chen,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9421701/,TRUE,FALSE
Research on construction method of knowledge graph of us military equipment based on bilstm model,2019,F Liao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8735478/,FALSE,FALSE
A Knowledge Graph Enhanced Semantic Matching Method for Plan Recommendation,2021,R Liang,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-78811-7_28,FALSE,FALSE
Entity Classification for Military Knowledge Graph based on Baidu Encyclopedia Distance Learning,2021,H Jia,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9393163/,FALSE,FALSE
Construction and Application Technology Architecture of Domain-specific Knowledge Graphin Military Field,2021,X Meng,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1792/1/012044/meta,FALSE,FALSE
Study on Military Regulations Knowledge Construction based on Knowledge Graph,2021,Q Zhao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9619666/,FALSE,FALSE
US Air Force Target Knowledge Graph Construction Based on Multi-source Intelligence Analysis,2020,R Hu,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-1468-5_41,TRUE,FALSE
Research on Semantic Similarity of Entities with the Case of Event Knowledge Graph,2020,T Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9421684/,FALSE,FALSE
Construction and Application of Knowledge Graph for Commanders of Synthetic Brigade,2021,H Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9442563/,FALSE,FALSE
Construction and application research of knowledge graph in aviation risk field,2018,Q Zhao,,matec-conferences.org,https://www.matec-conferences.org/articles/matecconf/abs/2018/10/matecconf_acmae2018_05003/matecconf_acmae2018_05003.html,TRUE,FALSE
A General Framework for Chinese Domain Knowledge Graph Question Answering Based on TransE,2020,Z Pei,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1693/1/012136/meta,FALSE,FALSE
Ability-oriented Performance Evaluation of General Intelligent Decision-making Engines Based on Knowledge Graphs,2021,X Xu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9477540/,FALSE,FALSE
Question Answering System over Knowledge Graph of Weapon Field,2020,P Gao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9253485/,FALSE,FALSE
The Construction of Knowledge Graph based on Securities Information,2019,QA Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8938986/,TRUE,FALSE
Research and Application of Agriculture Knowledge Graph,2021,H Zhang,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3501409.3501531,TRUE,FALSE
The Construction of Cognitive Graph of Integrated War Emergency System,2020,W Shi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9384580/,TRUE,FALSE
Agriculture Knowledge Graph Construction and Application,2021,H Qin,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1756/1/012010/meta,FALSE,FALSE
Research on Optimization of Knowledge Graph Construction Flow Chart,2020,F Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9338900/,FALSE,FALSE
[HTML][HTML] Attribute Extraction Study in the Field of Military Equipment Based on Distant Supervision,2021,X You,,hindawi.com,https://www.hindawi.com/journals/wcmc/2021/2549488/,FALSE,FALSE
Research Hotspots and Trends of Knowledge Graph Question Answering System----Visual analysis based on CiteSpace,2021,Y Xu,,forestchemicalsreview.com,http://forestchemicalsreview.com/index.php/JFCR/article/view/412,FALSE,FALSE
Establishment of Petrochemical Process Security Simulation and Emergency Drill Platform,2020,L Li,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1757-899X/768/5/052121/meta,FALSE,FALSE
MRE: A Military Relation Extraction Model Based on BiGRU and Multi-Head Attention,2021,Y Lu,,mdpi.com,https://www.mdpi.com/2073-8994/13/9/1742,FALSE,FALSE
[PDF][PDF] Technical program,2021,PMB Human,,ibcast.org.pk,http://ibcast.org.pk/files/techplans/AI18thIBCAST2021.pdf,FALSE,FALSE
