PaperTitle;Year;Author;Citation;Publication;URL;Related;Open source;;;;;
Movie recommendation algorithm based on knowledge graph;2019;W Han;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9095901/;FALSE;FALSE;;;;;
Neighborhood aggregation collaborative filtering based on knowledge graph;2020;D Zhang;;mdpi.com;https://www.mdpi.com/730400;FALSE;FALSE;;;;;
[HTML][HTML] Collaborative filtering recommendation algorithm based on knowledge graph;2018;R Mu;;hindawi.com;https://www.hindawi.com/journals/mpe/2018/9617410/abs/;FALSE;FALSE;;;;;
ELPKG: a high-accuracy link prediction approach for knowledge graph completion;2019;J Ma;;mdpi.com;https://www.mdpi.com/526444;FALSE;FALSE;;;;;
Multiimport: Inferring node importance in a knowledge graph from multiple input signals;26;N Park;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3394486.3403093;FALSE;FALSE;;;;;
Constructing Movie Domain Knowledge Graph Based on LOD;2019;Q Lei;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9049541/;TRUE;FALSE;;;;;
MindReader: Recommendation over Knowledge Graph Entities with Explicit User Ratings;29;AH Brams;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3340531.3412759;FALSE;FALSE;;;;;
Construction and Application of Knowledge Graph based on Graph Neural Networks;2021;XU XIN;;repository.hanyang.ac.kr;https://repository.hanyang.ac.kr/handle/20.500.11754/163678;FALSE;FALSE;;;;;
Knowledge graph enhanced recommender system;2112;Z Huai;;arxiv.org;https://arxiv.org/abs/2112.09425;FALSE;FALSE;;;;;
A novel recommendation algorithm with knowledge graph;2021;L Liu;;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1812/1/012035/meta;FALSE;FALSE;;;;;
Research on Video Recommendation Algorithm Based on Knowledge Reasoning of Knowledge Graph;2018;Z Xu;;Springer;https://link.springer.com/chapter/10.1007/978-3-030-01298-4_14;FALSE;FALSE;;;;;
A Personalized Recommendation System based on Knowledge Graph Embedding and Neural Network;2019;P Wang;;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9270221/;FALSE;FALSE;;;;;
Research Summary of Recommendation System Based on Knowledge Graph;2021;X He;;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3468920.3468935;FALSE;FALSE;;;;;
