PaperTitle,Year,Author,Citation,Publication,URL
Towards a biodiversity knowledge graph,2016,R Page,,eprints.gla.ac.uk,https://eprints.gla.ac.uk/146927/
[HTML][HTML] Ozymandias: a biodiversity knowledge graph,2019,RDM Page,,peerj.com,https://peerj.com/articles/6739/
[HTML][HTML] Infrastructure and Population of the OpenBiodiv Biodiversity Knowledge Graph,2021,M Dimitrova,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc8486731/
[PDF][PDF] OpenBiodiv: an implementaion of a semantic system running on top of the biodiversity knowledge graph,2017,V Senderov,,biss.pensoft.net,https://biss.pensoft.net/article/20084/download/pdf/
OpenBiodiv: a knowledge graph for literature-extracted linked open data in biodiversity science,2019,L Penev,,mdpi.com,https://www.mdpi.com/470638
[PDF][PDF] Training and hackathon on building biodiversity knowledge graphs,2019,J Sachs,,riojournal.com,https://riojournal.com/article/36152/download/pdf/
[PDF][PDF] Strategies for Assembling the Biodiversity Knowledge Graph,2020,R Page,,biss.pensoft.net,https://biss.pensoft.net/article/59126/download/pdf/
Towards Interlinked FAIR Biodiversity Knowledge: The BiCIKL perspective.,2021,L Penev,,go.gale.com,https://go.gale.com/ps/i.do?id=GALE%7CA674947113&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=25350897&p=AONE&sw=w
Towards Knowledge Graph Construction using Semantic Data Mining,21,D Sharafeldeen,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3366030.3366035
The Open Biodiversity Knowledge Management System: A Semantic Suite Running on top of the Biodiversity Knowledge Graph,2016,V Senderov,,192.104.39.235,https://192.104.39.235/index.php/tdwg/tdwg2016/paper/view/1009
"[PDF][PDF] The open biodiversity knowledge management (eco-) system: tools and services for extraction, mobilization, handling and re-use of data from the published …",2018,L Penev,,biss.pensoft.net,https://biss.pensoft.net/article/25748/download/pdf/
[HTML][HTML] Connecting data and expertise: a new alliance for biodiversity knowledge,2019,D Hobern,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6420472/
[PDF][PDF] Wikidata and the biodiversity knowledge graph,2019,R Page,,biss.pensoft.net,https://biss.pensoft.net/article/34742/download/pdf/
[PDF][PDF] # RetroPIDs: The missing link to the foundation of biodiversity knowledge,2021,N Kearney,,biss.pensoft.net,https://biss.pensoft.net/article/74141/download/pdf/
[PDF][PDF] Biodiversity Knowledge Graphs: Time to move up a gear!,2021,F Michel,,biss.pensoft.net,https://biss.pensoft.net/article/73699/download/pdf/
[PDF][PDF] OpenBiodiv Poster: an Implementation of a Semantic System Running on top of the Biodiversity Knowledge Graph,2017,V Senderov,,biss.pensoft.net,https://biss.pensoft.net/article/20246/download/pdf/
Simplifying the mechanics toward building a Biodiversity Knowledge Graph,2014,DP Shorthouse,,mbgocs.mobot.org,https://mbgocs.mobot.org/index.php/tdwg/2014/paper/view/593
[PDF][PDF] OpenBiodiv Computer Demo: an Implementation of a Semantic System Running on top of the Biodiversity Knowledge Graph,2017,V Senderov,,biss.pensoft.net,https://biss.pensoft.net/article/20193/download/pdf/
Demonstrating the Prototype of the Open Biodiversity Knowledge Management System,2016,V Senderov,,mbgocs.mobot.org,https://mbgocs.mobot.org/index.php/tdwg/tdwg2016/paper/view/1028/0
Towards a Semantic Toolbox for Reproducible Knowledge Graph Generation in the Biodiversity Domain-How to Make the Most out of Biodiversity Data,2021,S Babalou,,dl.gi.de,https://dl.gi.de/handle/20.500.12116/37709
A wiki based portal to the biodiversity knowledge graph.,2015,J Sachs,,mbgocs.mobot.org,https://mbgocs.mobot.org/index.php/tdwg/2015/paper/view/788
Hydro-graph: A knowledge graph for hydrogen research trends and relations,2020,R Lin,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0360319919345367
OceanGraph: Some Initial Steps Toward a Oceanographic Knowledge Graph,2019,M Zárate,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-21395-4_3
Some Challenges in Working with Biodiversity Ontologies,2016,J Sachs,,mbgocs.mobot.org,https://mbgocs.mobot.org/index.php/tdwg/tdwg2016/paper/view/1093/0
[CITATION][C] Towards a biodiversity knowledge graph. Research Ideas and Outcomes 2: e8767,2016,R Page,,2016,xx
People are essential to linking biodiversity data,2020,Q Groom,,academic.oup.com,https://academic.oup.com/database/article-abstract/doi/10.1093/database/baaa072/6094701
[HTML][HTML] Liberating links between datasets using lightweight data publishing: an example using plant names and the taxonomic literature,2018,R Page,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6066477/
[PDF][PDF] Species Association Knowledge Graph Construction-A Demo Paper,2019,B König-Ries,,ceur-ws.org,http://ceur-ws.org/Vol-2849/paper-30.pdf
[PDF][PDF] Bringing a Semantic MediaWiki Flora to Life,2018,J Pender,,biss.pensoft.net,https://biss.pensoft.net/article/25885/download/pdf/
[CITATION][C] Towards a biodiversity knowledge graph. Research Ideas and Outcomes 2: e8767‑e8767,2016,RDM Page,,2016,xx
Knowledge Graphs,2021,R Page,,search.proquest.com,https://search.proquest.com/openview/227ab789b872dce2fcef04644998ebde/1?pq-origsite=gscholar&cbl=2049297
From catalogs to phenotypes: The evolution and current status of TaxonWorks with emphasis on its utility for entomologists,2016,MJ Yoder,,experts.illinois.edu,https://experts.illinois.edu/en/publications/from-catalogs-to-phenotypes-the-evolution-and-current-status-of-t
[HTML][HTML] OpenBiodiv-O: ontology of the OpenBiodiv knowledge management system,2018,V Senderov,,Springer,https://link.springer.com/article/10.1186/s13326-017-0174-5
[PDF][PDF] Advancing the catalogue of the world's natural history collections,2020,D Hobern,,biss.pensoft.net,https://biss.pensoft.net/article/59324/download/pdf/
Harmonizing Big Data with a Knowledge Graph: OceanGraph KG Uses Case,2020,M Zárate,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-61218-4_6
Data S3: Data for Fig. 11,2019,RDM Page,,scilit.net,https://www.scilit.net/article/acb4f6f68c54d93189b585ca828dd464
OpenBiodiv-O Ontology: Bridging the Gap Between Biodiversity Data and Biodiversity Publishing.,2019,M Dimitrova,,go.gale.com,https://go.gale.com/ps/i.do?id=GALE%7CA646393844&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=25350897&p=AONE&sw=w
Automating the construction of higher order data representations from heterogeneous biodiversity datasets,2019,N Nicolson,,bura.brunel.ac.uk,https://bura.brunel.ac.uk/handle/2438/19620
Application of Semantic Technology in Biodiversity Science: An Introduction,2018,AE Thessen,,ebooks.iospress.nl,https://ebooks.iospress.nl/pdf/doi/10.3233/978-1-61499-854-9-3
"[PDF][PDF] Nicole Kearney, Colleen Funkhouser, Mike Lichtenberg, Bess Missell, Roderic Page, Joel",xx,DR Richard,,arpha.pensoft.net,https://arpha.pensoft.net/preview_src.php?document_id=17731&action=get_print_pdf
Progress in Authority Management of People Names for Collections.,2019,QJ Groom,,go.gale.com,https://go.gale.com/ps/i.do?id=GALE%7CA646393840&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=25350897&p=AONE&sw=w
"[CITATION][C] Symposium: Building the Biodiversity Knowledge Graph for Insects-Components, Progress, and Challenges",2016,NM Franz,,esa.confex.com,https://esa.confex.com/esa/ice2016/meetingapp.cgi/Session/24482
[PDF][PDF] Text-mining BHL: towards new interfaces to the biodiversity literature,2019,R Page,,biss.pensoft.net,https://biss.pensoft.net/article/35013/download/pdf/
What's in a name?: Sense and Reference in biodiversity information,2016,J Philipson,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1071596
"[PDF][PDF] OpenBiodiv: Linking type materials, institutions, locations and taxonomic names extracted from scholarly literature",2019,M Dimitrova,,biss.pensoft.net,https://biss.pensoft.net/article/35089/download/pdf/
Strings to things: a user-friendly framework for data reconciliation,2015,N Nicolson,,mbgocs.mobot.org,https://mbgocs.mobot.org/index.php/tdwg/2015/paper/view/829
Enhancing Diptera systematics: from single researcher to global specimen data network,2016,T Dikow,,scholar.archive.org,https://scholar.archive.org/work/t2hofaiiqfcnbnyirqoqg5essm/access/wayback/https://s3.us-east-2.amazonaws.com/pstorage-si-9094369797/6203889/dikowt_ice_20160930.pdf
Reconciling author names in taxonomic and publication databases,2019,RDM Page,,biorxiv.org,https://www.biorxiv.org/content/10.1101/870170v1.abstract
"Data Auditing, Cleaning and Quality Assurance Workflows from the Experience of a Scholarly Publisher",2019,L Penev,,search.proquest.com,https://search.proquest.com/openview/667bac632e5dac36b8aede2ef78ee1f9/1?pq-origsite=gscholar&cbl=2049297
Robust Integration of Biodiversity Data by Process-and State-based Representation of Object Histories and Modular Application Architecture,2021,C Bölling,,search.proquest.com,https://search.proquest.com/openview/aa93c978b2d8c7de7a99160087ffb38c/1?pq-origsite=gscholar&cbl=2049297
Liberating host-virus knowledge from biological dark data,2021,N Upham,,ecoevorxiv.org,https://ecoevorxiv.org/txekq
"[PDF][PDF] Mobilizing Data from Taxonomic Literature for an Iconic Species (Dinosauria, Theropoda, Tyrannosaurus rex)",2019,J Miller,,biss.pensoft.net,https://biss.pensoft.net/article/37078/download/pdf/
