PaperTitle,Year,Author,Citation,Publication,URL
[HTML][HTML] Benchmark and best practices for biomedical knowledge graph embeddings,2020,D Chang,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7971091/
Constructing biomedical knowledge graph based on SemMedDB and linked open data,2018,Q Cong,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8621568/
Biomedical Knowledge Graph Refinement with Embedding and Logic Rules,2012,S Zhao,,arxiv.org,https://arxiv.org/abs/2012.01031
GrEDeL: A knowledge graph embedding based method for drug discovery from biomedical literatures,2018,S Sang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8574025/
[HTML][HTML] A Biomedical Knowledge Graph System to Propose Mechanistic Hypotheses for Real-World Environmental Health Observations: Cohort Study and …,2021,K Fecho,,medinform.jmir.org,https://medinform.jmir.org/2021/7/e26714/
[HTML][HTML] SemaTyP: a knowledge graph based literature mining method for drug discovery,2018,S Sang,,Springer,https://link.springer.com/article/10.1186/s12859-018-2167-5
[HTML][HTML] BERT based clinical knowledge extraction for biomedical knowledge graph construction and analysis,2021,A Harnoune,,Elsevier,https://www.sciencedirect.com/science/article/pii/S2666990021000410
Enriching contextualized language model from knowledge graph for biomedical information extraction,2021,H Fei,,academic.oup.com,https://academic.oup.com/bib/article-abstract/22/3/bbaa110/5854405
[PDF][PDF] Distantly supervised biomedical knowledge acquisition via knowledge graph based attention,2019,Q Dai,,aclweb.org,https://www.aclweb.org/anthology/W19-2601.pdf
"DeepKG: An End-to-End Deep Learning-Based Workflow for Biomedical Knowledge Graph Extraction, Optimization and Applications.",2021,Z Li,,europepmc.org,https://europepmc.org/article/pmc/pmc8689937
Knowledge graph-based approaches to drug repurposing for COVID-19,2021,J Al-Saleem,,Publications,https://pubs.acs.org/doi/abs/10.1021/acs.jcim.1c00642
Expanding a database-derived biomedical knowledge graph via multi-relation extraction from biomedical abstracts,2020,DN Nicholson,,biorxiv.org,https://www.biorxiv.org/content/10.1101/730085v2.abstract
Biomedical Knowledge Graph Refinement and Completion using Graph Representation Learning and Top-K Similarity Measure,2020,IA Ebeid,,arxiv.org,https://arxiv.org/abs/2012.10540
Science Forum: Wikidata as a knowledge graph for the life sciences,2020,A Waagmeester,,elifesciences.org,https://elifesciences.org/articles/52614
Biomedical knowledge discovery based on Sentence‐BERT,2020,S Shen,,Library,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.362
SumGNN: multi-typed drug interaction prediction via efficient knowledge graph summarization,2021,Y Yu,,academic.oup.com,https://academic.oup.com/bioinformatics/article-abstract/37/18/2988/6189090
Biomedical Knowledge Graph Embeddings for Personalized Medicine,2021,J Vilela,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-86230-5_46
A knowledge graph based bidirectional recurrent neural network method for literature-based discovery,2018,S Sang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8621423/
Data Integration for Supporting Biomedical Knowledge Graph Creation at Large-Scale,1811,S Jozashoori,,arxiv.org,https://arxiv.org/abs/1811.01660
Constructing biomedical domain-specific knowledge graph with minimum supervision,2020,J Yuan,,Springer,https://link.springer.com/article/10.1007/s10115-019-01351-4
[HTML][HTML] KGHC: a knowledge graph for hepatocellular carcinoma,2020,N Li,,…,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-020-1112-5
[HTML][HTML] Using predicate and provenance information from a knowledge graph for drug efficacy screening,2018,WJ Vlietstra,,Springer,https://link.springer.com/article/10.1186/s13326-018-0189-6
Towards context in large scale biomedical knowledge graphs,2020,J Dörpinghaus,,arxiv.org,https://arxiv.org/abs/2001.08392
A benchmark for biomedical knowledge graph based similarity,2020,CMABF Cardoso,,repositorio.ul.pt,https://repositorio.ul.pt/handle/10451/45267
Diagnosis method of thyroid disease combining knowledge graph and deep learning,2020,X Chai,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9167227/
CBKH: The Cornell Biomedical Knowledge Hub,2021,C Su,,medrxiv.org,https://www.medrxiv.org/content/10.1101/2021.03.12.21253461v1.abstract
Understanding the performance of knowledge graph embeddings in drug discovery,2021,S Bonner,,arxiv.org,https://arxiv.org/abs/2105.10488
Neural Multi-Hop Reasoning With Logical Rules on Biomedical Knowledge Graphs,2021,Y Liu,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77385-4_22
Mixture-of-Partitions: Infusing Large Biomedical Knowledge Graphs into BERT,2021,Z Meng,,arxiv.org,https://arxiv.org/abs/2109.04810
CROssBAR: comprehensive resource of biomedical relations with knowledge graph representations,2021,T Doğan,,academic.oup.com,https://academic.oup.com/nar/article-abstract/49/16/e96/6310792
[HTML][HTML] edge2vec: Representation learning using edge semantics for biomedical knowledge discovery,2019,Z Gao,,…,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-2914-2
Poster Paper Data Integration for Supporting Biomedical Knowledge Graph Creation at Large-Scale,2018,S Jozashoori,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-06016-9_9
Interpretable graph convolutional neural networks for inference on noisy knowledge graphs,2018,D Neil,,arxiv.org,https://arxiv.org/abs/1812.00279
A review of biomedical datasets relating to drug discovery: A knowledge graph perspective,2021,S Bonner,,arxiv.org,https://arxiv.org/abs/2102.10062
[PDF][PDF] Survey on Generic and Biomedical Knowledge Graph,xx,E Amin,,cfilt.iitb.ac.in,https://www.cfilt.iitb.ac.in/resources/surveys/Ekant_SurveyPaper.pdf
[PDF][PDF] Expanding a Database-derived Biomedical Knowledge Graph via Multi-relation Extraction from Biomedical,2020,DN Nicholson,,greenelab.github.io,https://greenelab.github.io/text_mined_hetnet_manuscript/v/1149d5d4ab45ee7ff8cec0698148f421bb01b290/manuscript.pdf
Fast and scalable learning of neuro-symbolic representations of biomedical knowledge,1804,A Agibetov,,arxiv.org,https://arxiv.org/abs/1804.11105
Scalable knowledge graph analytics at 136 petaflop/s,2020,R Kannan,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9355266/
Drug-Drug Interaction Prediction on a Biomedical Literature Knowledge Graph,2020,K Bougiatiotis,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-59137-3_12
[HTML][HTML] Mining disease-symptom relation from massive biomedical literature and its application in severe disease diagnosis,2018,E Xia,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6371303/
Knowledge graph-based recommendation framework identifies novel drivers of resistance in egfr mutant non-small cell lung cancer,2021,A Gogleva,,biorxiv.org,https://www.biorxiv.org/content/10.1101/2021.07.23.453506.abstract
Wikidata as a FAIR knowledge graph for the life sciences,2020,A Waagmeester,,biorxiv.org,https://www.biorxiv.org/content/10.1101/799684v2.abstract
[PDF][PDF] Wikidata as a knowledge graph for the life sciences,2020,W Andra,,drive.google.com,https://drive.google.com/file/d/1QBqDBP5HacGePL9fky3a8u2xEjukoQtu/view
[PDF][PDF] Using a General Prior Knowledge Graph to Improve Data-Driven Causal Network Learning.,2021,M Sinha,,proceedings.aaai-make.info,https://proceedings.aaai-make.info/AAAI-MAKE-PROCEEDINGS-2021/paper31.pdf
Knowledge Graph-based Neurodegenerative Diseases and Diet Relationship Discovery,2021,Y Nian,,arxiv.org,https://arxiv.org/abs/2109.06123
FunMap: Efficient execution of functional mappings for knowledge graph creation,2020,S Jozashoori,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-62419-4_16
[HTML][HTML] Constructing knowledge graphs and their biomedical applications,2020,DN Nicholson,,Elsevier,https://www.sciencedirect.com/science/article/pii/S2001037020302804
RTX-KG2: a system for building a semantically standardized knowledge graph for translational biomedicine,2021,EC Wood,,biorxiv.org,https://www.biorxiv.org/content/10.1101/2021.10.17.464747.abstract
[PDF][PDF] Development of Knowledge Graph for University Courses Management,2020,I Aliyu,,mecs-press.net,http://www.mecs-press.net/ijeme/ijeme-v10-n2/IJEME-V10-N2-1.pdf
Separating wheat from chaff: Joining biomedical knowledge and patient data for repurposing medications,2019,G Nordon,,ojs.aaai.org,https://ojs.aaai.org/index.php/AAAI/article/view/5017
Scientific Language Models for Biomedical Knowledge Base Completion: An Empirical Study,2021,R Nadkarni,,arxiv.org,https://arxiv.org/abs/2106.09700
Multi-relational knowledge graph completion method with local information fusion,2021,J Huang,,Springer,https://link.springer.com/article/10.1007/s10489-021-02876-4
MedGraph: An experimental semantic information retrieval method using knowledge graph embedding for the biomedical citations indexed in PubMed,2112,IA Ebeid,,arxiv.org,https://arxiv.org/abs/2112.06348
Predicting Potential Drug Targets Using Tensor Factorisation and Knowledge Graph Embeddings,2105,C Ye,,arxiv.org,https://arxiv.org/abs/2105.10578
COVID-KOP: integrating emerging COVID-19 data with the ROBOKOP database,2021,D Korn,,academic.oup.com,https://academic.oup.com/bioinformatics/article-abstract/37/4/586/5974199
Demystifying Drug Repurposing Domain Comprehension with Knowledge Graph Embedding,2021,E Ramalli,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9644981/
[HTML][HTML] Knowledge-based approaches to drug discovery for rare diseases,2021,VM Alves,,Elsevier,https://www.sciencedirect.com/science/article/pii/S1359644621004529
Matching Biomedical Knowledge Graphs with Neural Embeddings,2020,RDR Neves,,repositorio.ul.pt,https://repositorio.ul.pt/handle/10451/48359
[HTML][HTML] A knowledge graph of combined drug therapies using semantic predications from biomedical literature: Algorithm development,2020,J Du,,medinform.jmir.org,https://medinform.jmir.org/2020/4/e18323
[PDF][PDF] Extending Quaternion Knowledge Graph Embeddings,xx,R Alexander,,rbalexander.me,https://rbalexander.me/resources/extending-quaternion-knowledge-graph-embeddings.pdf
[HTML][HTML] Drug repurposing for COVID-19 via knowledge graph completion,2021,R Zhang,,Elsevier,https://www.sciencedirect.com/science/article/pii/S1532046421000253
Biomedical knowledge graphs construction from conditional statements,2020,T Jiang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9034075/
Biomedical Information Extraction for Disease Gene Prioritization,2020,J Parmar,,arxiv.org,https://arxiv.org/abs/2011.05188
A scalable embedding based neural network method for discovering knowledge from biomedical literature,2020,S Sang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9122407/
CROssBAR: Comprehensive Resource of Biomedical Relations with Deep Learning Applications and Knowledge Graph Representations,2020,T Dogan,,biorxiv.org,https://www.biorxiv.org/content/10.1101/2020.09.14.296889v1.abstract
Enrich Rare Disease Phenotypic Characterizations via a Graph Convolutional Network Based Recommendation System,2020,F Shen,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9183118/
[PDF][PDF] Scalable Knowledge-Graph Analytics at 136 Petaflop/s,xx,PS Ramakrishnan,,osti.gov,https://www.osti.gov/servlets/purl/1798621
Rewire-then-Probe: A Contrastive Recipe for Probing Biomedical Knowledge of Pre-trained Language Models,2021,Z Meng,,arxiv.org,https://arxiv.org/abs/2110.08173
[BOOK][B] Towards biomedical interpretability: methods for knowledge graph machine learning research in medicine,2020,C Nelson,,search.proquest.com,https://search.proquest.com/openview/1f070b0df48dbdc0652d0b55e41d4a74/1?pq-origsite=gscholar&cbl=18750&diss=y
[HTML][HTML] A knowledge graph representation of baseline characteristics for the Dutch proton therapy research registry,2021,M Sloep,,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405630821000860
[HTML][HTML] Disease ontologies for knowledge graphs,2021,N Kurbatova,,Springer,https://link.springer.com/article/10.1186/s12859-021-04173-w
Knowledge-Graph-Based Drug Repositioning against COVID-19 by graph convolutional network with attention mechanism,2021,M Che,,mdpi.com,https://www.mdpi.com/952036
Conceptualized representation learning for chinese biomedical text mining,2020,N Zhang,,arxiv.org,https://arxiv.org/abs/2008.10813
Towards Incorporating Entity-specific Knowledge Graph Information in Predicting Drug-Drug Interactions,2012,I Mondal,,arxiv.org,https://arxiv.org/abs/2012.11142
Drug target discovery using knowledge graph embeddings,34,SK Mohamed,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3297280.3297282
PatientEG dataset: bringing event graph model with temporal relations to electronic medical records,2018,X Liu,,arxiv.org,https://arxiv.org/abs/1812.09905
Integrating Logical Rules Into Neural Multi-Hop Reasoning for Drug Repurposing,2020,Y Liu,,arxiv.org,https://arxiv.org/abs/2007.05292
Biomedical Graph Visualizer for Identifying Drug Candidates,2020,A Teng,,biorxiv.org,https://www.biorxiv.org/content/10.1101/2020.11.27.368811v1.abstract
An efficient approach towards the generation and analysis of interoperable clinical data in a knowledge graph,2021,J Dörpinghaus,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9555705/
Leveraging semantics for large-scale knowledge graph evaluation,2017,SM Rashid,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3091478.3162385
SynLethDB 2.0: A web-based knowledge graph database on synthetic lethality for novel anticancer drug discovery,2021,J Wang,,biorxiv.org,https://www.biorxiv.org/content/10.1101/2021.12.28.474346.abstract
A Knowledge Graph Approach Towards Hidden Patterns Discovery From Biomedical Publications,2021,S Bakhtyar,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1598419
[PDF][PDF] Explaining Drug Discovery Hypotheses Using Knowledge Graph Patterns,2021,K Schatz,,repository.lib.ncsu.edu,https://repository.lib.ncsu.edu/bitstream/handle/1840.20/39079/TR-2021-3.pdf?sequence=1
[PDF][PDF] FunMap: Efficient Execution of Functional Mappings for Knowledge Graph Creation,2008,ME Vidal,,researchgate.net,https://www.researchgate.net/profile/David-Chaves-Fraga/publication/346220361_FunMap_Efficient_Execution_of_Functional_Mappings_for_Knowledge_Graph_Creation/links/5fbce8b1a6fdcc6cc65eec67/FunMap-Efficient-Execution-of-Functional-Mappings-for-Knowledge-Graph-Creation.pdf
Data Exploration and Validation on dense knowledge graphs for biomedical research,2019,J Dörpinghaus,,arxiv.org,https://arxiv.org/abs/1912.06194
Relation-weighted link prediction for disease gene identification,2020,S Pittala,,arxiv.org,https://arxiv.org/abs/2011.05138
[HTML][HTML] Relation path feature embedding based convolutional neural network method for drug discovery,2019,D Zhao,,…,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-019-0764-5
[HTML][HTML] Finding melanoma drugs through a probabilistic knowledge graph,2017,JP McCusker,,peerj.com,https://peerj.com/articles/cs-106/
Construction of a knowledge graph for diabetes complications from expert-reviewed clinical evidences,2020,L Wang,,Francis,https://www.tandfonline.com/doi/abs/10.1080/24699322.2020.1850866
[PDF][PDF] BERTKG-DDI: Towards Incorporating Entity-specific Knowledge Graph Information in Predicting Drug-Drug Interactions.,2021,I Mondal,,ceur-ws.org,http://ceur-ws.org/Vol-2831/paper5.pdf
[PDF][PDF] Reflections on: Finding Melanoma Drugs Through a Probabilistic Knowledge Graph.,2019,JP McCusker,,ceur-ws.org,http://ceur-ws.org/Vol-2576/paper07.pdf
[PDF][PDF] Noise Removal with Regular Expression in Knowledge Graphs,2020,PY Hou,,repository.lib.ncsu.edu,https://repository.lib.ncsu.edu/bitstream/handle/1840.20/38588/TR-2020-4.pdf?sequence=1
[PDF][PDF] Proceedings of the 19th SIGBioMed Workshop on Biomedical Language Processing,19,D Demner-Fushman,,aclweb.org,https://www.aclweb.org/anthology/2020.bionlp-1.0.pdf
[HTML][HTML] Embedding electronic health records onto a knowledge network recognizes prodromal features of multiple sclerosis and predicts diagnosis,2021,CA Nelson,,academic.oup.com,https://academic.oup.com/jamia/advance-article-abstract/doi/10.1093/jamia/ocab270/6463510
Rediscovering alignment relations with Graph Convolutional Networks,2011,P Monnin,,arxiv.org,https://arxiv.org/abs/2011.06023
Biomedical Text Link Prediction for Drug Discovery: A Case Study with COVID-19,2021,K McCoy,,mdpi.com,https://www.mdpi.com/1999-4923/13/6/794
"Inference of Biomedical Relations Among Chemicals, Genes, Diseases, and Symptoms Using Knowledge Representation Learning",2019,W Choi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8931752/
