PaperTitle,Year,Author,Citation,Publication,URL
Public cultural knowledge graph platform,2017,Y Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7889556/
A versatile approach for constructing a domain knowledge graph for culture,2019,J Wei,,Library,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.186
[HTML][HTML] Knowledge graph based on domain ontology and natural language processing technology for Chinese intangible cultural heritage,2018,J Dou,,Elsevier,https://www.sciencedirect.com/science/article/pii/S1045926X18300041
Preliminary Study on the Knowledge Graph Construction of Chinese Ancient History and Culture,2020,S Liu,,mdpi.com,https://www.mdpi.com/677820
Extraction of a knowledge graph from French cultural heritage documents,2020,E Marchand,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-55814-7_2
[HTML][HTML] An Intelligent Question Answering System of the Liao Dynasty Based on Knowledge Graph,2021,S Liu,,Springer,https://link.springer.com/article/10.1007/s44196-021-00010-3
A Semantic Retrieval Method Based on the Knowledge Graph of Ethnic Clothing Culture,2021,L Cui,,Springer,https://link.springer.com/chapter/10.1007/978-981-16-7476-1_25
Research on space-time evolution model of Xiangshan Culture knowledge graph based on named graph,2017,W Chen,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8054101/
Building thesaurus-based knowledge graph based on schema layer,2017,B Qiao,,Springer,https://link.springer.com/content/pdf/10.1007/s10586-016-0725-z.pdf
Integrated Recommendation for Public Cultural Service,2017,Y Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7966714/
[HTML][HTML] Chinese Named Entity Recognition Method in History and Culture Field Based on BERT,2021,S Liu,,Springer,https://link.springer.com/article/10.1007/s44196-021-00019-8
[CITATION][C] Cultural Mapping of Villages Of India,2020,T Sharma,,…,xx
Public Cultural Services Recommendation System Architecture,2017,S Ye,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8004350/
Data Preparation in Agriculture Through Automated Semantic Annotation--Basis for a Wide Range of Smart Services,2019,J Klose,,arxiv.org,https://arxiv.org/abs/1911.06606
[PDF][PDF] A survey on the development status and application prospects of knowledge graph in smart grids,2020,J Wang,,Library,https://onlinelibrary.wiley.com/doi/pdf/10.1049/gtd2.12040
Crowd intelligence-based interactive creation platform,2019,Y Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8859464/
[PDF][PDF] The Influence of Mother Tongue in Decreasing English as a Foreign Language Students' Oral Proficiency The Case of First Year LMD Students of English at …,2016,H Bouchouareb,,archives.univ-biskra.dz,http://archives.univ-biskra.dz/bitstream/123456789/8687/1/a113.pdf
O2O service-based Chinese calligraphy big data platform,2020,Y YANG,,zjujournals.com,http://www.zjujournals.com/xueshu/sci/EN/10.3785/j.issn.1008-9497.2020.04.002
[PDF][PDF] MAGISTER DISSERTATION,2011,S BENSAAD,,researchgate.net,https://www.researchgate.net/profile/Safia-Bensaad/publication/342513819_Specialty_Didactics_of_Civilization_and_Literature_AN_INVESTIGATION_INTO_THE_TEACHING_METHODOLOGY_OF_BRITISH_CIVILIZATION_IN_FIRST_YEAR_LMD_CLASSES_DEPARTMENT_OF_ENGLISH_AT_BLIDA_UNIVERSITY/links/5ef8bb19458515505078cbf5/Specialty-Didactics-of-Civilization-and-Literature-AN-INVESTIGATION-INTO-THE-TEACHING-METHODOLOGY-OF-BRITISH-CIVILIZATION-IN-FIRST-YEAR-LMD-CLASSES-DEPARTMENT-OF-ENGLISH-AT-BLIDA-UNIVERSITY.pdf
Umělecký překlad ve vyučování angličtiny,2015,A VRABCOVÁ,,is.muni.cz,https://is.muni.cz/th/382976/pedf_m/Diploma_Thesis_Vrabcova.pdf
[PDF][PDF] 云端结合的书法大数据平台,2020,杨颐， 李国清，,,zjujournals.com,http://www.zjujournals.com/sci/CN/article/downloadArticleFile.do?attachType=PDF&id=4506
