PaperTitle,Year,Author,Citation,Publication,URL
Domain knowledge graph-based research progress of knowledge representation,2021,J Lin,,Springer,https://link.springer.com/article/10.1007/s00521-020-05057-5
A relationship extraction method for domain knowledge graph construction,2020,H Yu,,Springer,https://link.springer.com/article/10.1007/s11280-019-00765-y
AliMeKG: Domain knowledge graph construction and application in e-commerce,29,FL Li,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3340531.3412685
A domain knowledge graph construction method based on Wikipedia,2021,H Yu,,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0165551520932510
A versatile approach for constructing a domain knowledge graph for culture,2019,J Wei,,Library,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.186
Scratch-dkg: A framework for constructing scratch domain knowledge graph,2020,P Qi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9099052/
Automatically semantic annotation of network document based on domain knowledge graph,2017,Y Wu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8367341/
Dkgbuilder: An architecture for building a domain knowledge graph from scratch,2017,Y Fan,,Springer,https://link.springer.com/chapter/10.1007/978-3-319-55699-4_42
"[HTML][HTML] Knowledge graph for TCM health preservation: Design, construction, and applications",2017,T Yu,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0933365717301355
FactQA: question answering over domain knowledge graph based on two-level query expansion,2019,X Zhang,,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/DTA-02-2019-0029/full/html?skipTracking=true&utm_source=TrendMD&utm_medium=cpc&utm_campaign=Data_Technologies_and_Applications_TrendMD_1&WT.mc_id=Emerald_TrendMD_1
Con2kg-a large-scale domain-specific knowledge graph,30,N Goyal,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3342220.3344931
[HTML][HTML] Leveraging domain context for question answering over knowledge graph,2019,P Tong,,Springer,https://link.springer.com/article/10.1007/s41019-019-00109-w
Construction method of domain knowledge graph based on big data-driven,2019,N Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8714664/
[HTML][HTML] Research on knowledge graph alignment model based on deep learning,2021,C Yu,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0957417421011404
Research on Information Extraction of Technical Documents and Construction of Domain Knowledge Graph,2020,H Zhao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9195862/
From vision to content: Construction of domain-specific multi-modal knowledge graph,2019,X Zhang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8788525/
[HTML][HTML] An agent composition framework for the J-Park Simulator-A knowledge graph for the process industry,2019,X Zhou,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0098135419305058
Research on domain knowledge graph based on the large scale online knowledge fragment,2014,L Qingjie,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6976259/
Domain Specific NMT based on Knowledge Graph Embedding and Attention,2019,H Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8701980/
Relational learning analysis of social politics using knowledge graph embedding,2021,B Abu-Salih,,Springer,https://link.springer.com/article/10.1007/s10618-021-00760-w
Improvement of tf-idf algorithm based on knowledge graph,2018,Y Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8477196/
Dbkwik: A consolidated knowledge graph from thousands of wikis,2018,S Hertling,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8588770/
Knowledge extraction experiment based on tourism knowledge graph Q & A data set,2020,X Liang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9202197/
AutoKG-An Automotive Domain Knowledge Graph for Software Testing: A position paper,2021,V Kesri,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9440180/
Hdskg: Harvesting domain specific knowledge graph from content of webpages,2017,X Zhao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7884609/
[PDF][PDF] Knowledge graph matching with inter-service information transfer.,2020,S Yumusak,,ceur-ws.org,http://ceur-ws.org/Vol-2775/paper11.pdf
The construction of a domain knowledge graph and its application in supply chain risk analysis,2019,W Zhang,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-34986-8_33
Construction and application of knowledge graph system in computer science,2018,T Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8965547/
Construction and Application of a Knowledge Graph,2021,X Hao,,mdpi.com,https://www.mdpi.com/2072-4292/13/13/2511
Predicting Polypharmacy Side Effects Based on an Enhanced Domain Knowledge Graph,2020,R Wang,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-61702-8_7
Development of Domain Knowledge Graph: A Case Study on Flotation Process,2021,C Hu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9657783/
A General Solution and Practice for Automatically Constructing Domain Knowledge Graph,2020,X Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9344946/
[HTML][HTML] An Importance Assessment Model of Open-Source Community Java Projects Based on Domain Knowledge Graph,2020,C Yang,,search.proquest.com,https://search.proquest.com/openview/36955e4d8b01ce06f522bba1e0dd29df/1?pq-origsite=gscholar&cbl=4585453
Preliminary Study on the Knowledge Graph Construction of Chinese Ancient History and Culture,2020,S Liu,,mdpi.com,https://www.mdpi.com/677820
Review on the application of knowledge graph in cyber security assessment,2020,K Zhang,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1757-899X/768/5/052103/meta
Implementation of intelligent question answering system based on basketball knowledge graph,2019,Y Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8997747/
