PaperTitle,Year,Author,Citation,Publication,URL
[PDF][PDF] Visualization for knowledge graph based on education data,2016,K Sun,,ijsi.cnjournals.com,http://ijsi.cnjournals.com/ch/reader/download_pdf_file.aspx?journal_id=ijsi&file_name=B3147901C258E49082A3421DBCBB0AA964B751679425141383E1CE2F4CE2269A1917C5BA434988A4DBD58DDE47D59E18337BA3B4E381A05D&open_type=self&file_no=i227
Domain knowledge graph-based research progress of knowledge representation,2021,J Lin,,Springer,https://link.springer.com/article/10.1007/s00521-020-05057-5
A New Method to Construct Education Knowledge Graph,2018,Z Zheng,,cnki.com.cn,https://www.cnki.com.cn/Article/CJFDTotal-JYJS201812007.htm
EduVis: Visualization for Education Knowledge Graph Based on Web Data,9,K Sun,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2968220.2968227
Research and Application of Knowledge Graph in Teaching: Take the database course as an example,2020,Y Qin,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1607/1/012127/meta
Constructing a Hybrid Automatic Q&A System Integrating Knowledge Graph and Information Retrieval Technologies,2019,Y Liu,,books.google.com,https://books.google.com/books?hl=en&lr=&id=ECSNDwAAQBAJ&oi=fnd&pg=PA67&dq=%22Education+knowledge+graph%22+&ots=dpJQEIycVv&sig=rq3kA-KKSLuYKRaDFJjpiJgUdpo
An Effective Method for Constructing Knowledge Graph of Online Course,2021,C Huang,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3451400.3451403
Research on Knowledge Graph in Education Field from the Perspective of Knowledge Graph,2021,Z Chen,,books.google.com,https://books.google.com/books?hl=en&lr=&id=R9AiEAAAQBAJ&oi=fnd&pg=PA347&dq=%22Education+knowledge+graph%22+&ots=1L0NReFJdj&sig=G-kPY7gcZarIvFQ0yT75VXbvQ2g
Fuzzy knowledge graph system for artificial intelligence-based smart education,2021,P Sun,,content.iospress.com,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs189332
Construction and Application of Knowledge Graph of Teaching Arrangement for Cross-disciplinary Majors,2021,P Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9477719/
Knowledge Graph Construction of High-Performance Computing Learning Platform,2021,T Dong,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1748/2/022035/meta
Research of Scratch Programming Recommendation System Based on MED and Knowledge Graph,2020,Y He,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9421594/
Visualizing Knowledge Graph for Explosive Formula Design,2021,Z Yang,,manu44.magtech.com.cn,http://manu44.magtech.com.cn/Jwk_infotech_wk3/EN/abstract/abstract5159.shtml
Review on development of smart education,2019,W Shi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8955052/
The Realization of Cross-Media Knowledge Graph of Tang and Song Poetry,2020,C WU,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9469590/
Online Programming Education Modeling and Knowledge Tracing,2020,Y Sun,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-55130-8_23
[HTML][HTML] Summary and Evaluation of the Application of Knowledge Graphs in Education 2007–2020,2021,Y Mao,,hindawi.com,https://www.hindawi.com/journals/ddns/2021/6304109/
"[CITATION][C] The Education Knowledge Graph under the Vision of “Artificial Intelli⁃ gence+”: Connotation, Technical Framework and Appli⁃ cation Research",2019,LI Zhen,,2019,xx
Construction and Application Technology Architecture of Domain-specific Knowledge Graphin Military Field,2021,X Meng,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1792/1/012044/meta
[CITATION][C] Building a Large-Scale Knowledge Graph for Elementary Education in China,2019,W Zheng,,Springer,xx
[CITATION][C] Efficient Intelligent Generic Recommendation Knowledge Graph in Education Domain using Association Rule Mining and Machine Learning [J],1999,D Sathyanarayanan,,1999,xx
Internet-based Knowledge Graph Construction Technology in Air Defense Field,2021,L Yu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9463350/
[PDF][PDF] Construction of a Knowledge Map-based System for Personalized Second Language Learning,2019,L Lecailliez,,louis.lecailliez.net,https://louis.lecailliez.net/dl/IPSJ-CLE19027003.pdf
"Analysis of Spatial-temporal Distribution, Focus Trends and Evolution of Sports Culture Education Research in China",2018,Y Liu,,jestp.com,https://www.jestp.com/index.php/estp/article/view/306
Automated clinical diagnosis: The role of content in various sections of a clinical document,2017,V Datla,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8217794/
Research on the framework of intelligent classroom based on artificial intelligence,2021,J Li,,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0020720920984000
RETRACTED ARTICLE: Air pollution detection in plain area based on web server and visualization of basketball training,2021,R Ji,,Springer,https://link.springer.com/article/10.1007/s12517-021-07924-4
炸药配方设计知识图谱的构建与可视分析方法研究,2021,周阳， 李学俊，,,manu44.magtech.com.cn,http://manu44.magtech.com.cn/Jwk_infotech_wk3/CN/abstract/abstract5159.shtml
[PDF][PDF] A Semantic Approach to Intelligent and Adaptive Personal Tutoring System,xx,M Sette,,csis.pace.edu,http://csis.pace.edu/~ctappert/srd2016/2016PDF/b9.pdf
Research on Construction Technology of Multi Heterogeneous Data Resource Graph of Power Grid Corporation,2020,L Wang,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1549/5/052039/meta
Review of deep learning-based personalized learning recommendation,2020,L Zhong,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3377571.3377587
构建一个教育领域知识图谱并将知识点链接到维基百科,2021,FR Dang,,jcst.ict.ac.cn,https://jcst.ict.ac.cn/CN/Y2021/V36/I5/1200
Exploiting cognitive structure for adaptive learning,25,Q Liu,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3292500.3330922
[PDF][PDF] 基于知识图谱的多策略组卷系统研究,2021,李豫， 张勇,,jsj.709journal.com,http://jsj.709journal.com/CN/article/downloadArticleFile.do?attachType=PDF&id=2578
Enterprise map construction based on EOLN model,2017,Q Zhang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7965706/
Sports Information Extraction and Presentation,2021,W Liu,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3456887.3457467
Applying Kolmogorov Complexity for High Load Balancing Between Distributed Computing System Nodes,2019,M Stepanova,,ceeol.com,https://www.ceeol.com/search/article-detail?id=764449
Intelligent Educational Management and Service,2021,S Yu,,Springer,https://link.springer.com/chapter/10.1007/978-981-16-2770-5_7
[PDF][PDF] 一种改进的 ELM-SAMME 算法及应用研究,2021,李克文， 丁胜夺，,,jsj.709journal.com,http://jsj.709journal.com/CN/article/downloadArticleFile.do?attachType=PDF&id=2575
[HTML][HTML] 基于知识图谱的国内工程教育研究现状分析——关于 CSSCI 期刊载文的量化研究,2021,刘宏业， 杨晖，,,jss.usst.edu.cn,https://jss.usst.edu.cn/html/2021/2/20210215.htm
