PaperTitle,Year,Author,Citation,Publication,URL
Stochastic optimization for market return prediction using financial knowledge graph,2018,X Fu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8588771/
Financial Knowledge Graph Based Financial Report Query System,2021,S Zehra,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9424591/
A dynamic financial knowledge graph based on reinforcement learning and transfer learning,2019,R Miao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9005691/
A High Precision Pipeline for Financial Knowledge Graph Construction,28,S Elhammadi,,aclweb.org,https://www.aclweb.org/anthology/2020.coling-main.84/
Data set and evaluation of automated construction of financial knowledge graph,2021,W Wang,,direct.mit.edu,https://direct.mit.edu/dint/article-abstract/3/3/418/106758
Knowledge graph-based event embedding framework for financial quantitative investments,43,D Cheng,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3397271.3401427
[PDF][PDF] A Semantic Path Based Approach to Match Subgraphs from Large Financial Knowledge Graph,2019,Z Wang,,atlantis-press.com,https://www.atlantis-press.com/article/125921058.pdf
Constructing Knowledge Graph for Financial Equities,2020,L Huakui,,manu44.magtech.com.cn,http://manu44.magtech.com.cn/Jwk_infotech_wk3/EN/10.11925/infotech.2096-3467.2019.0929
Knowledge Graph Based Question Answering System for Financial Securities,2021,M Bulla,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-87626-5_4
Semi-automatic Construction of Financial Knowledge Graph Based on Web,2021,Y Luo,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9477534/
[HTML][HTML] Financial knowledge graph construction,2020,S Elhammadi,,open.library.ubc.ca,https://open.library.ubc.ca/collections/83l/24/items/1.0392614
"Financial Knowledge Graph Construction, Querying, and Indexing",2021,Y Xie,,search.proquest.com,https://search.proquest.com/openview/6d3b0b41d18f545f6d3f58d684303f92/1?pq-origsite=gscholar&cbl=18750&diss=y
[PDF][PDF] Populating the FLE Financial Knowledge Graph,xx,M Peña-Muñoz,,ceur-ws.org,http://ceur-ws.org/Vol-2180/paper-89.pdf
Query Associations Over Big Financial Knowledge Graph,2018,X Ouyang,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-28061-1_21
Knowledge graph construction for payment data risk control,2020,Z Wang,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-5959-4_231
Joint extraction of entities and relations for domain knowledge graph,2021,FU Rui,,xblk.ecnu.edu.cn,https://xblk.ecnu.edu.cn/EN/abstract/abstract25925.shtml
Industry Chain Graph Building Based on Text Semantic Association Mining,2021,J Li,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9534360/
A General Solution and Practice for Automatically Constructing Domain Knowledge Graph,2020,X Yang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9344946/
Relation classification in knowledge graph based on natural language text,2018,Y Song,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8663945/
