PaperTitle,Year,Author,Citation,Publication,URL
Prospects for the research on geoscience knowledge graph in the Big Data Era,2021,C Zhou,,Springer,https://link.springer.com/article/10.1007/s11430-020-9750-4
An Editing Platform of Geoscience Knowledge System,2020,SHI Shunzhong,,geology.nju.edu.cn,https://geology.nju.edu.cn/EN/10.16108/j.issn1006-7493.2020019
GAKG: A Multimodal Geoscience Academic Knowledge Graph,30,C Deng,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3459637.3482003
Construction and Application of a Knowledge Graph,2021,X Hao,,mdpi.com,https://www.mdpi.com/2072-4292/13/13/2511
Construction of Deposit Model-oriented Knowledge Graph,2021,Y Qun,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1755-1315/671/1/012034/meta
[HTML][HTML] CONSTRUCTION AND APPLICATIONS OF KNOWLEDGE GRAPH OF PORPHYRY COPPER DEPOSITS,2021,Z Yongzhang,,cyberleninka.ru,https://cyberleninka.ru/article/n/construction-and-applications-of-knowledge-graph-of-porphyry-copper-deposits
地球科学知识体系编辑平台,2020,石顺中， 闾海荣，,,geology.nju.edu.cn,https://geology.nju.edu.cn/CN/Y2020/V26/I4/384
НАУКИ О ЗЕМЛЕ И НЕДРОПОЛЬЗОВАНИЕ,2021,Y ZHOU,,elibrary.ru,https://elibrary.ru/item.asp?id=47125096
[PDF][PDF] 地质年代本体及其在语义检索中的应用,2018,侯志伟， 诸云强，,,researchgate.net,https://www.researchgate.net/profile/Zhiwei-Hou-3/publication/322926146_Geologic_Time_Scale_Ontology_and_Its_Applications_in_Semantic_Retrieval/links/5a77194ba6fdccbb3c097eb2/Geologic-Time-Scale-Ontology-and-Its-Applications-in-Semantic-Retrieval.pdf
Построение и применение графа знаний медно-порфировых месторождений,2021,Ю Чжоу,,nznj.ru,https://www.nznj.ru/jour/article/view/158
[PDF][PDF] GeoERA Project Vocabularies,xx,M Schiegl,,geoera.eu,https://geoera.eu/wp-content/uploads/2019/11/D4.3-GeoERA-Project-Vocabularies.pdf
Speedup Robust Graph Structure Learning with Low-Rank Information,30,H Xu,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3459637.3482299
[PDF][PDF] Structural Alignment Method of Conceptual Categories of Ontology and Formalized Domain,xx,E Manziuk,,ceur-ws.org,http://ceur-ws.org/Vol-3003/paper2.pdf
Ecological dynamics of terrestrial and freshwater ecosystems across three mid-Phanerozoic mass extinctions from northwest China,2021,Y Huang,,royalsocietypublishing.org,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2021.0148
