PaperTitle,Year,Author,Citation,Publication,URL
[HTML][HTML] Automated domain-specific healthcare knowledge graph curation framework: Subarachnoid hemorrhage as phenotype,2020,KM Malik,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0957417419308371
Personalized health knowledge graph,2018,A Gyrard,,corescholar.libraries.wright.edu,https://corescholar.libraries.wright.edu/knoesis/1173/
Towards an Italian Healthcare Knowledge Graph,2021,M Postiglione,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-89657-7_29
[HTML][HTML] Text snippets to corroborate medical relations: An unsupervised approach using a knowledge graph and embeddings,2020,MR Kamdar,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7233036/
Dynamic causality knowledge graph generation for supporting the chatbot healthcare system,2020,HQ Yu,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-63092-8_3
[HTML][HTML] Multitask Healthcare Management Recommendation System Leveraging Knowledge Graph,2021,W Liu,,hindawi.com,https://www.hindawi.com/journals/jhe/2021/1233483/
Towards smart healthcare management based on knowledge graph technology,2019,L Huang,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3316615.3316678
Focused Clinical Query Understanding and Retrieval of Medical Snippets powered through a Healthcare Knowledge Graph,2020,MR Kamdar,,arxiv.org,https://arxiv.org/abs/2009.09086
Knowledge graph-based question answering with electronic health records,2021,J Park,,proceedings.mlr.press,https://proceedings.mlr.press/v149/park21a.html
[PDF][PDF] A Healthcare Knowledge Graph-based Approach to Enable Focused Clinical Search,2021,MR Kamdar,,ceur-ws.org,http://ceur-ws.org/Vol-2980/paper414.pdf
[HTML][HTML] Medical Knowledge Graph in Chinese Using Deep Semantic Mobile Computation Based on IoT and WoT,2021,W Liu,,hindawi.com,https://www.hindawi.com/journals/wcmc/2021/5590754/
Focused Clinical Search through Query Intent Interpretation and a Healthcare Knowledge Graph,2020,M Kamdar,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3775468
Snomed2Vec: Random Walk and Poincar\'e Embeddings of a Clinical Knowledge Base for Healthcare Analytics,2019,K Agarwal,,arxiv.org,https://arxiv.org/abs/1907.08650
Deep Learning-Based Knowledge Graph Generation for COVID-19,2021,T Kim,,mdpi.com,https://www.mdpi.com/1004588
Elsevier's Healthcare Knowledge Graph and the Case for Enterprise Level Linked Data Standards,xx,A Tordai,,ceur-ws.org,http://ceur-ws.org/Vol-2180/paper-85.pdf
[HTML][HTML] Research on Construction of Knowledge Graph of Intestinal Cells,2020,F He,,atlantis-press.com,https://www.atlantis-press.com/journals/jaims/125944781/view
"[PDF][PDF] Deep Learning-Based Knowledge Graph Generation for COVID-19. Sustainability 2021, 13, 2276",2021,T Kim,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/ac83/437579ceccbc868182fb4785670a0d9661c4.pdf
[CITATION][C] Elsevier's Healthcare Knowledge Graph and the Case for Enterprise Level Linked Data Standards.,2018,A DeJong,,2018,xx
[HTML][HTML] KGEL: A novel end-to-end embedding learning framework for knowledge graph completion,2021,A Zeb,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0957417420309039
[HTML][HTML] Processing knowledge graph-based complex questions through question decomposition and recomposition,2020,S Shin,,Elsevier,https://www.sciencedirect.com/science/article/pii/S002002552030150X
Improving Clinical Query Intent Interpretation by using Concept Embedding Vectors,2021,M Kamdar,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3969318
"[BOOK][B] Web and Big Data: APWeb-WAIM 2018 International Workshops: MWDA, BAH, KGMA, DMMOOC, DS, Macau, China, July 23–25, 2018, Revised Selected …",2018,H Xie,,books.google.com,https://books.google.com/books?hl=en&lr=&id=DhB0DwAAQBAJ&oi=fnd&pg=PR6&dq=%22Healthcare+knowledge+graph%22+&ots=qInbyvbQgQ&sig=8IFe4S2EJc4qCD_0ZWKMio8IZso
A systematic review of smart mental healthcare,5,S Dalal,,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3511013
Knowledge-based decision support in healthcare via near field communication,2020,G Loseto,,mdpi.com,https://www.mdpi.com/813320
"[PDF][PDF] Graph representation learning in bioinformatics: trends, methods and applications",2021,HC Yi,,researchgate.net,https://www.researchgate.net/profile/Haicheng-Yi/publication/354327323_Graph_representation_learning_in_bioinformatics_trends_methods_and_applications/links/61c082a1a6251b553ad1332d/Graph-representation-learning-in-bioinformatics-trends-methods-and-applications.pdf
"[HTML][HTML] Exploiting knowledge graphs in industrial products and services: A survey of key aspects, challenges, and future perspectives",2021,X Li,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0166361521000567
Architecture of an intelligent personal health library for improved health outcomes,2021,HM Jamil,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9581174/
[HTML][HTML] Learning hyperbolic attention-based embeddings for link prediction in knowledge graphs,2021,A Zeb,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0950705121006316
Enterprise knowledge graphs with applications to continuous monitoring systems,2021,DE O'Leary,,Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/isaf.1491
Ontology middleware for integration of IoT healthcare information systems in EHR systems,2018,A Alamri,,mdpi.com,https://www.mdpi.com/348376
