PaperTitle,Year,Author,Citation,Publication,URL
Real-world data medical knowledge graph: construction and applications,2020,L Li,,Elsevier,https://www.sciencedirect.com/science/article/pii/S0933365719309546
Safe medicine recommendation via medical knowledge graph embedding,2017,M Wang,,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2017arXiv171005980W/abstract
Smr: Medical knowledge graph embedding for safe medicine recommendation,2021,F Gong,,Elsevier,https://www.sciencedirect.com/science/article/pii/S2214579620300423
Automatic generation of a qualified medical knowledge graph and its usage for retrieving patient cohorts from electronic medical records,2013,T Goodwin,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6693543/
Patient similarity via joint embeddings of medical knowledge graph and medical entity descriptions,2020,Z Lin,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9178312/
"[HTML][HTML] Medical Knowledge Graph to Enhance Fraud, Waste, and Abuse Detection on Claim Data: Model Development and Performance Evaluation",2020,H Sun,,medinform.jmir.org,https://medinform.jmir.org/2020/7/e17653/
Research review of knowledge graph and its application in medical domain,2018,M Hou,,crad.ict.ac.cn,https://crad.ict.ac.cn/EN/abstract/abstract3824.shtml
[HTML][HTML] A method to learn embedding of a probabilistic medical knowledge graph: Algorithm development,2020,L Li,,medinform.jmir.org,https://medinform.jmir.org/2020/5/e17645?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JMIR_TrendMD_0
[HTML][HTML] Path-based knowledge reasoning with textual semantic information for medical knowledge graph completion,2021,Y Lan,,…,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-021-01622-7
Automatic approach for constructing a knowledge graph of knee osteoarthritis in Chinese,2020,X Li,,Springer,https://link.springer.com/article/10.1007/s13755-020-0102-4
Attention-aware path-based relation extraction for medical knowledge graph,2017,D Wen,,Springer,https://link.springer.com/chapter/10.1007/978-3-319-73830-7_32
A survey on application of knowledge graph,2020,X Zou,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1742-6596/1487/1/012016/meta
Diagnosis method of thyroid disease combining knowledge graph and deep learning,2020,X Chai,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9167227/
A framework for automated knowledge graph construction towards traditional Chinese medicine,2017,H Weng,,Springer,https://link.springer.com/chapter/10.1007/978-3-319-69182-4_18
Integration of Domain Knowledge using Medical Knowledge Graph Deep Learning for Cancer Phenotyping,2021,M Alawad,,arxiv.org,https://arxiv.org/abs/2101.01337
[HTML][HTML] Text snippets to corroborate medical relations: An unsupervised approach using a knowledge graph and embeddings,2020,MR Kamdar,,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7233036/
[HTML][HTML] When truth discovery meets medical knowledge graph: Estimating trustworthiness degree for medical knowledge condition,2018,Y Deng,,deepai.org,https://deepai.org/publication/when-truth-discovery-meets-medical-knowledge-graph-estimating-trustworthiness-degree-for-medical-knowledge-condition
[HTML][HTML] Research on Medical Knowledge Graph for Stroke,2021,B Cheng,,hindawi.com,https://www.hindawi.com/journals/jhe/2021/5531327/
KGDDS: a system for drug-drug similarity measure in therapeutic substitution based on knowledge graph curation,2019,Y Shen,,Springer,https://link.springer.com/article/10.1007/s10916-019-1182-z
[PDF][PDF] A Knowledge Graph Based Health Assistant,2019,L Bo,,aiforsocialgood.github.io,https://aiforsocialgood.github.io/neurips2019/accepted/track1/pdfs/53_aisg_neurips2019.pdf
[HTML][HTML] Medical Knowledge Graph in Chinese Using Deep Semantic Mobile Computation Based on IoT and WoT,2021,W Liu,,hindawi.com,https://www.hindawi.com/journals/wcmc/2021/5590754/
Construction of Chinese Pediatric Medical Knowledge Graph,9,Y Song,,books.google.com,https://books.google.com/books?hl=en&lr=&id=eHfRDwAAQBAJ&oi=fnd&pg=PA213&dq=%22Medical+knowledge+graph%22+&ots=w2xMxKWGjO&sig=V_J607qDJQ79UHYZIOj4vmAz8ks
[HTML][HTML] Learning a health knowledge graph from electronic medical records,2017,M Rotmensch,,nature.com,https://www.nature.com/articles/s41598-017-05778-z
Construction of traditional Chinese medicine knowledge graph using data mining and expert knowledge,2018,B Cheng,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8525665/
CLMed: a cross-lingual knowledge graph framework for cardiovascular diseases,2019,M Sheng,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-30952-7_51
[HTML][HTML] Head and Tail Entity Fusion Model in Medical Knowledge Graph Construction: Case Study for Pituitary Adenoma,2021,A Fang,,medinform.jmir.org,https://medinform.jmir.org/2021/7/e28218/
Auto-Encoding Knowledge Graph for Unsupervised Medical Report Generation,2021,F Liu,,proceedings.neurips.cc,https://proceedings.neurips.cc/paper/2021/hash/876e1c59023b1a0e95808168e1a8ff89-Abstract.html
A data-intensive CDSS platform based on knowledge graph,2018,M Sheng,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-01078-2_13
A survey of recommendation algorithms based on knowledge graph embedding,2019,C Liu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8938875/
An Improved Approach to the Construction of Chinese Medical Knowledge Graph Based on CTD-BLSTM Model,2021,Y Wu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9430549/
DiaKG: an Annotated Diabetes Dataset for Medical Knowledge Graph Construction,2021,D Chang,,arxiv.org,https://arxiv.org/abs/2105.15033
Knowledge-Graph-Based Drug Repositioning against COVID-19 by graph convolutional network with attention mechanism,2021,M Che,,mdpi.com,https://www.mdpi.com/952036
[HTML][HTML] Construction of a digestive system tumor knowledge graph based on chinese electronic medical records: development and usability study,2020,X Xiu,,medinform.jmir.org,https://medinform.jmir.org/2020/10/e18287?utm_source=TrendMD&utm_medium=cpc&utm_campaign=JMIR_TrendMD_1
PrTransH: embedding probabilistic medical knowledge from real world EMR data,2019,L Li,,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2019arXiv190900672L/abstract
Drug Repurposing for Parkinson's Disease by Integrating Knowledge Graph Completion Model and Knowledge Fusion of Medical Literature,2021,X Zhang,,mdpi.com,https://www.mdpi.com/953838
Domain knowledge graph-based research progress of knowledge representation,2021,J Lin,,Springer,https://link.springer.com/article/10.1007/s00521-020-05057-5
DocKG: a knowledge graph framework for health with doctor-in-the-loop,2019,M Sheng,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-32962-4_1
Real-time sepsis severity prediction on knowledge graph deep learning networks for the intensive care unit,2020,Q Li,,Elsevier,https://www.sciencedirect.com/science/article/pii/S1047320320301425
[PDF][PDF] Learning Patient Similarity via Heterogeneous Medical Knowledge Graph Embedding.,2021,Z Lin,,iaeng.org,http://www.iaeng.org/IJCS/issues_v48/issue_4/IJCS_48_4_03.pdf
SMR: Medical knowledge graph embedding for safe medicine recommendation,2017,F Gong,,arxiv.org,https://arxiv.org/abs/1710.05980
Demographic Aware Probabilistic Medical Knowledge Graph Embeddings of Electronic Medical Records,2021,A Guluzade,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77211-6_48
Open Drug Knowledge Graph,2021,M Mann,,openreview.net,https://openreview.net/forum?id=3izmXsxSKQn
MKGB: A Medical Knowledge Graph Construction Framework Based on Data Lake and Active Learning,2021,P Ren,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-90885-0_22
[HTML][HTML] A knowledge graph based question answering method for medical domain,2021,X Huang,,peerj.com,https://peerj.com/articles/cs-667/
A Comparison Study of Direct Inference and Knowledge Compensating Generalized Inference as Multidisciplinary for Medical Knowledge Graph,2021,J Xi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9624351/
Knowledge graph-based clinical decision support system reasoning: a survey,2019,X Xiang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8923457/
