PaperTitle,Year,Author,Citation,Publication,URL
Embedding and Predicting Software Security Entity Relationships: A Knowledge Graph Based Approach,2019,H Xiao,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-36718-3_5
Quantifying the Significance and Relevance of Cyber-Security Text Through Textual Similarity and Cyber-Security Knowledge Graph,2020,O Mendsaikhan,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9207885/
ISEK: An information security knowledge graph for CISP knowledge system,2015,Y Yao,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7292991/
Developing an ontology for cyber security knowledge graphs,10,M Iannacone,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2746266.2746278
Review on the application of knowledge graph in cyber security assessment,2020,K Zhang,,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1757-899X/768/5/052103/meta
[HTML][HTML] Data-driven cybersecurity knowledge graph construction for industrial control system security,2020,G Shen,,hindawi.com,https://www.hindawi.com/journals/wcmc/2020/8883696/
KGBIAC: Knowledge graph based intelligent alert correlation framework,2017,W Wang,,Springer,https://link.springer.com/chapter/10.1007/978-3-319-69471-9_41
Key Technologies of Cyber Security Knowledge Graph,2021,LI Xu,,jfdc.cnic.cn,http://www.jfdc.cnic.cn/EN/10.11871/jfdc.issn.2096-742X.2021.03.002
CSKB: A Cyber Security Knowledge Base Based on Knowledge Graph,2020,K Li,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-9129-7_8
Powering filtration process of cyber security ecosystem using knowledge graph,2016,C Asamoah,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7545925/
Cyber security knowledge graph based cyber attack attribution framework for space-ground integration information network,2018,Z Zhu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8600108/
STIX-based Network Security Knowledge Graph Ontology Modeling Method,2020,Z Liu,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3397056.3397083
Integrating Heterogeneous Security Knowledge Sources for Comprehensive Security Analysis,2021,G Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9529428/
Relext: Relation extraction using deep learning approaches for cybersecurity knowledge graph improvement,2019,A Pingle,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3341161.3343519
Knowledge Extraction and Knowledge Graph Construction Based on Campus Security Logss,2020,S Cao,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-8086-4_33
KGSecConfig: A Knowledge Graph Based Approach for Secured Container Orchestrator Configuration,2112,MU Haque,,arxiv.org,https://arxiv.org/abs/2112.12595
The Scheme of Security Requirement Acquisition Based on Knowledge Graph,2020,Y Zhang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9405313/
Analysis System for Security Situation in Cyberspace Based on Knowledge Graph,2021,J Kang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9619719/
Automatic Analysis and Reasoning Based on Vulnerability Knowledge Graph,2019,S Qin,,Springer,https://link.springer.com/chapter/10.1007/978-981-15-1922-2_1
FSM-based cyber security status analysis method,2019,Y Qi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8923565/
A Review on Application of Knowledge Graph in Cybersecurity,2020,Z Yan,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9480953/
Research on Automatic Vulnerability Mining Model Based on Knowledge Graph,2020,Z Chen,,Scientific,https://www.worldscientific.com/doi/abs/10.1142/S0218213020400242
The SLOGERT Framework for Automated Log Knowledge Graph Construction,2021,A Ekelhart,,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77385-4_38
Association analysis algorithm based on knowledge graph for space-ground integrated network,2018,Y Qi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8600234/
Automated attack and defense framework toward 5G security,2020,Y Sun,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9083674/
A Safe and Intelligent Knowledge Graph Construction Model Suitable for Smart Gridaper Title,2021,H Chen,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9526942/
Mining threat intelligence about open-source projects and libraries from code repository issues and bug reports,2018,L Neil,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8587375/
Predicting entity relations across different security databases by using graph attention network,2021,L Yuan,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9529668/
A System for Automated Open-Source Threat Intelligence Gathering and Management,2021,P Gao,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448016.3452745
Rule Reduction after Knowledge Graph Mining for Cyber Situational Awareness Analysis,2020,B Liu,,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877050920318275
[PDF][PDF] Visualization for knowledge graph based on education data,2016,K Sun,,ijsi.cnjournals.com,http://ijsi.cnjournals.com/ch/reader/download_pdf_file.aspx?journal_id=ijsi&file_name=B3147901C258E49082A3421DBCBB0AA964B751679425141383E1CE2F4CE2269A1917C5BA434988A4DBD58DDE47D59E18337BA3B4E381A05D&open_type=self&file_no=i227
> Research on Security Threat Assessment for Power IOT Terminal Based on Knowledge Graph,2021,P TianYu,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9587134/
[CITATION][C] Knowledge Reasoning Model for Social Security,2020,M Sun,,2020,xx
Attack Analysis Framework for Cyber-Attack and Defense Test Platform,2020,Y Qi,,mdpi.com,https://www.mdpi.com/814142
An APT Attack Analysis Framework Based on Self-define Rules and Mapreduce,2020,Y Qi,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9172855/
Implementing Network Attack Detection with a Novel NSSA Model Based on Knowledge Graphs,2020,Y Wang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9343060/
Deep learning approaches in semantic triple generation for knowledge graph population,2019,A Pingle,,mdsoar.org,https://mdsoar.org/handle/11603/20720
A framework to construct knowledge base for cyber security,2017,H Shang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8005481/
An APT Group Knowledge Model based on MDATA,2020,Y Cai,,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3444370.3444600
[PDF][PDF] NETWORK ATTACK PATH PREDICTION BASED ON VULNERABILITY DATA AND KNOWLEDGE GRAPH,xx,Y Wang,,ijicic.org,http://www.ijicic.org/ijicic-170518.pdf
[CITATION][C] Research on Key Technologies of Network Security Knowledge Graph Construction,2019,Y Win,,2019,xx
Construction of public safety knowledge graphs,2020,Y Huang,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9232530/
